general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2836358903,4,Pass,1,1,0,0,2khen2a38l2hkx33s73pehl6o,FC Metz,MET,home,b3wpebwk3m3ax11ia7dkwcwrt,J. Deminguet,48.5,48.9,0,2025-08-17T15:15:23.597Z,2025-08-17T21:15:53Z,75vj2kkzx3rsh4sljwh5yv2tw,13,2025-08-17,17:15:00,1,2,45,Metz vs Strasbourg,Pass End X: 75.4; Zone: Right; Length: 44.4; Angle: 5.40; Long ball: Si; Launch: Si; Pass End Y: 0.0,"ID: 279, Value: S",Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,,,,,,,,,75.4,0.0,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,5.4,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,lwvcd2hhpv55v2m4vwn6y6o4,Stade Saint-Symphorien,532,MC,possession,Posesión / circulación
2836359113,4,Pass,1,1,0,12,71ajatxnuhc5cnm3xvgdky49w,RC Strasbourg Alsace,STR,away,1gfomo3mo11cttdhprm1jtp0,A. Ouattara,15.5,100.0,1,2025-08-17T15:15:36.159Z,2025-08-17T18:25:17Z,75vj2kkzx3rsh4sljwh5yv2tw,13,2025-08-17,17:15:00,1,2,45,Metz vs Strasbourg,Pass End X: 10.5; Length: 7.3; Zone: Back; Pass End Y: 94.2; Throw In: Si; Angle: 3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,10,3.0,,,,,,,,,10.5,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,3.91,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,lwvcd2hhpv55v2m4vwn6y6o4,Stade Saint-Symphorien,532,LWB,possession,Posesión / circulación
2836359143,5,Pass,1,1,0,15,71ajatxnuhc5cnm3xvgdky49w,RC Strasbourg Alsace,STR,away,1au9xpmimbyr1jceidcy6v7kk,V. Barco,12.5,95.1,1,2025-08-17T15:15:38.430Z,2025-08-17T15:15:39Z,75vj2kkzx3rsh4sljwh5yv2tw,13,2025-08-17,17:15:00,1,2,45,Metz vs Strasbourg,Length: 8.5; Pass End Y: 85.9; Angle: 5.46; Pass End X: 18.0; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,,,,,,,,,18.0,85.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,5.46,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,lwvcd2hhpv55v2m4vwn6y6o4,Stade Saint-Symphorien,532,MC,possession,Posesión / circulación
2836359217,6,Pass,1,1,0,16,71ajatxnuhc5cnm3xvgdky49w,RC Strasbourg Alsace,STR,away,26yt4f0i77i9fvaujwg0dnbbo,S. El Mourabet,18.1,85.9,1,2025-08-17T15:15:39.934Z,2025-08-17T15:15:43Z,75vj2kkzx3rsh4sljwh5yv2tw,13,2025-08-17,17:15:00,1,2,45,Metz vs Strasbourg,Length: 6.2; Zone: Back; Pass End Y: 94.7; Pass End X: 19.7; Angle: 1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8.0,,,,,,,,,19.7,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,1.3,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,lwvcd2hhpv55v2m4vwn6y6o4,Stade Saint-Symphorien,532,CDM,possession,Posesión / circulación
2836359309,7,Pass,1,1,0,20,71ajatxnuhc5cnm3xvgdky49w,RC Strasbourg Alsace,STR,away,1gfomo3mo11cttdhprm1jtp0,A. Ouattara,26.5,95.0,1,2025-08-17T15:15:43.614Z,2025-08-17T15:15:46Z,75vj2kkzx3rsh4sljwh5yv2tw,13,2025-08-17,17:15:00,1,2,45,Metz vs Strasbourg,Pass End Y: 94.1; Length: 5.6; Zone: Back; Angle: 3.25; Pass End X: 21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3.0,,,,,,,,,21.2,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,3.25,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,lwvcd2hhpv55v2m4vwn6y6o4,Stade Saint-Symphorien,532,LWB,possession,Posesión / circulación
2836359337,8,Pass,1,1,0,22,71ajatxnuhc5cnm3xvgdky49w,RC Strasbourg Alsace,STR,away,26yt4f0i77i9fvaujwg0dnbbo,S. El Mourabet,21.8,93.9,1,2025-08-17T15:15:46.349Z,2025-08-17T15:15:47Z,75vj2kkzx3rsh4sljwh5yv2tw,13,2025-08-17,17:15:00,1,2,45,Metz vs Strasbourg,Chipped: Si; Pass End X: 38.5; Length: 23.4; Zone: Back; Angle: 5.56; Pass End Y: 71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8.0,,,,,,,,,38.5,71.2,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,5.56,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,lwvcd2hhpv55v2m4vwn6y6o4,Stade Saint-Symphorien,532,CDM,possession,Posesión / circulación
2836359345,9,Pass,1,1,0,24,71ajatxnuhc5cnm3xvgdky49w,RC Strasbourg Alsace,STR,away,d89utbh576jnm3r5sh108ikx6,E. Emegha,46.9,66.2,0,2025-08-17T15:15:47.453Z,2025-08-17T18:25:43Z,75vj2kkzx3rsh4sljwh5yv2tw,13,2025-08-17,17:15:00,1,2,45,Metz vs Strasbourg,Pass End Y: 70.3; Angle: 2.54; Lay-off: Si; Length: 5.0; Pass End X: 43.0; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Back,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10.0,,,,,,,,,43.0,70.3,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.54,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,lwvcd2hhpv55v2m4vwn6y6o4,Stade Saint-Symphorien,532,CF,possession,Posesión / circulación
2836359441,6,Pass,1,1,0,25,2khen2a38l2hkx33s73pehl6o,FC Metz,MET,home,b3wpebwk3m3ax11ia7dkwcwrt,J. Deminguet,58.0,30.9,1,2025-08-17T15:15:48.493Z,2025-08-17T18:26:02Z,75vj2kkzx3rsh4sljwh5yv2tw,13,2025-08-17,17:15:00,1,2,45,Metz vs Strasbourg,Pass End X: 42.4; Pass End Y: 28.2; Angle: 3.25; Length: 16.5; Head pass: Si; Zone: Back,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,,,,,,,,,42.4,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,3.25,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,lwvcd2hhpv55v2m4vwn6y6o4,Stade Saint-Symphorien,532,MC,possession,Posesión / circulación
2836420287,393,Pass,1,1,0,26,2khen2a38l2hkx33s73pehl6o,FC Metz,MET,home,bffc3dzdi9c6ix77k1yaepjpw,S. Sané,42.4,33.1,1,2025-08-17T15:15:49.753Z,2025-08-17T18:26:12Z,75vj2kkzx3rsh4sljwh5yv2tw,13,2025-08-17,17:15:00,1,2,45,Metz vs Strasbourg,Angle: 1.83; Zone: Back; Pass End X: 38.7; Length: 15.2; Pass End Y: 54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.0,,,,,,,,,38.7,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,1.83,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,lwvcd2hhpv55v2m4vwn6y6o4,Stade Saint-Symphorien,532,CB,possession,Posesión / circulación
2836359529,8,Pass,1,1,0,30,2khen2a38l2hkx33s73pehl6o,FC Metz,MET,home,aeg6qg6zhedy316adz12ibqqc,M. Mboula,43.6,76.5,1,2025-08-17T15:15:54.109Z,2025-08-17T18:26:29Z,75vj2kkzx3rsh4sljwh5yv2tw,13,2025-08-17,17:15:00,1,2,45,Metz vs Strasbourg,Angle: 0.74; Length: 17.1; Zone: Left; Pass End Y: 93.4; Pass End X: 55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Left,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4.0,,,,,,,,,55.6,93.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,0.74,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,lwvcd2hhpv55v2m4vwn6y6o4,Stade Saint-Symphorien,532,CB,possession,Posesión / circulación
