general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2836549669,4,Pass,1,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,FC Nantes,NAN,home,6ovea0xzg9yflmlbjdf1xcmlm,J. Lepenant,50.2,50.1,1,2025-08-17T18:45:13.963Z,2025-08-18T03:24:43Z,76t6m3q3ye3kb7rtlansiyivo,13,2025-08-17,20:45:00,1,2,45,Nantes vs Paris Saint-Germain,Pass End Y: 39.1; Angle: 3.46; Length: 23.9; Pass End X: 28.6; Zone: Back,"ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10.0,,,,,,,,,28.6,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,3.46,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,cfyvxrsaf1fmg0bnqtwouwgvb,Stade de la Beaujoire - Louis Fonteneau,4141,MC,possession,Posesión / circulación
2836549707,5,Pass,1,1,0,7,750ustvk4jfqmo8q4gnrcxy7z,FC Nantes,NAN,home,c2wiaju4etayjlp12x9ba3kkp,C. Awaziem,28.6,39.1,1,2025-08-17T18:45:21.251Z,2025-08-18T01:13:42Z,76t6m3q3ye3kb7rtlansiyivo,13,2025-08-17,20:45:00,1,2,45,Nantes vs Paris Saint-Germain,Length: 17.1; Angle: 1.58; Pass End X: 28.5; Pass End Y: 64.3; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5.0,,,,,,,,,28.5,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,1.58,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,cfyvxrsaf1fmg0bnqtwouwgvb,Stade de la Beaujoire - Louis Fonteneau,4141,CB,possession,Posesión / circulación
2836549737,6,Pass,1,1,0,9,750ustvk4jfqmo8q4gnrcxy7z,FC Nantes,NAN,home,b42it8et6s9w615cde2iobz10,T. Tati,27.9,63.9,1,2025-08-17T18:45:23.299Z,2025-08-18T01:13:42Z,76t6m3q3ye3kb7rtlansiyivo,13,2025-08-17,20:45:00,1,2,45,Nantes vs Paris Saint-Germain,Pass End Y: 50.3; Length: 10.0; Pass End X: 31.5; Zone: Back; Angle: 5.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.0,,,,,,,,,31.5,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.1,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,cfyvxrsaf1fmg0bnqtwouwgvb,Stade de la Beaujoire - Louis Fonteneau,4141,CB,possession,Posesión / circulación
2836549755,7,Pass,1,1,0,11,750ustvk4jfqmo8q4gnrcxy7z,FC Nantes,NAN,home,1ykx4qqmrnqanq3a6gepfh7ca,Kwon Hyeok-Kyu,29.5,48.7,1,2025-08-17T18:45:24.979Z,2025-08-18T01:13:42Z,76t6m3q3ye3kb7rtlansiyivo,13,2025-08-17,20:45:00,1,2,45,Nantes vs Paris Saint-Germain,Angle: 4.03; Pass End X: 14.6; Pass End Y: 20.1; Lay-off: Si; Zone: Back; Length: 25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4.0,,,,,,,,,14.6,20.1,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,4.03,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,cfyvxrsaf1fmg0bnqtwouwgvb,Stade de la Beaujoire - Louis Fonteneau,4141,CDM,possession,Posesión / circulación
2836549809,8,Pass,1,1,0,13,750ustvk4jfqmo8q4gnrcxy7z,FC Nantes,NAN,home,c2wiaju4etayjlp12x9ba3kkp,C. Awaziem,16.6,18.8,1,2025-08-17T18:45:27.187Z,2025-08-18T01:13:41Z,76t6m3q3ye3kb7rtlansiyivo,13,2025-08-17,20:45:00,1,2,45,Nantes vs Paris Saint-Germain,Length: 16.2; Zone: Back; Pass End Y: 19.2; Pass End X: 32.0; Angle: 0.02; Chipped: Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5.0,,,,,,,,,32.0,19.2,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,0.02,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,cfyvxrsaf1fmg0bnqtwouwgvb,Stade de la Beaujoire - Louis Fonteneau,4141,CB,possession,Posesión / circulación
2836549839,3,Pass,1,1,0,15,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain FC,PSG,away,cionsifzpx5rhc8es29wv6i95,Vitinha,54.2,73.0,1,2025-08-17T18:45:29.812Z,2025-08-18T01:12:21Z,76t6m3q3ye3kb7rtlansiyivo,13,2025-08-17,20:45:00,1,2,45,Nantes vs Paris Saint-Germain,Pass End X: 60.7; Head pass: Si; Zone: Center; Length: 6.9; Angle: 0.11; Pass End Y: 74.1,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.0,,,,,,,,,60.7,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,0.11,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,cfyvxrsaf1fmg0bnqtwouwgvb,Stade de la Beaujoire - Louis Fonteneau,433,MC,possession,Posesión / circulación
2836549851,4,Pass,1,1,0,17,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain FC,PSG,away,f3v58fkymhrprt5gs0ccm29xx,Fabián Ruiz,60.7,73.5,0,2025-08-17T18:45:31.362Z,2025-08-18T01:12:21Z,76t6m3q3ye3kb7rtlansiyivo,13,2025-08-17,20:45:00,1,2,45,Nantes vs Paris Saint-Germain,Length: 1.9; Pass End Y: 71.1; Pass End X: 59.8; Angle: 4.19; Zone: Center,"ID: 286, Value: N/A; ID: 236, Value: N/A; ID: 233, Value: 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8.0,,,,,,,,,59.8,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,4.19,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,cfyvxrsaf1fmg0bnqtwouwgvb,Stade de la Beaujoire - Louis Fonteneau,433,MC,possession,Posesión / circulación
2836549963,6,Pass,1,1,0,22,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain FC,PSG,away,cionsifzpx5rhc8es29wv6i95,Vitinha,42.9,55.2,1,2025-08-17T18:45:35.969Z,2025-08-18T01:12:20Z,76t6m3q3ye3kb7rtlansiyivo,13,2025-08-17,20:45:00,1,2,45,Nantes vs Paris Saint-Germain,Pass End X: 53.0; Zone: Center; Length: 17.8; Angle: 5.35; Pass End Y: 34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.0,,,,,,,,,53.0,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,5.35,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,cfyvxrsaf1fmg0bnqtwouwgvb,Stade de la Beaujoire - Louis Fonteneau,433,MC,possession,Posesión / circulación
2836550025,7,Pass,1,1,0,24,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain FC,PSG,away,8b3igmuipfhfzm39ack89de96,Lee Kang-In,53.4,32.7,1,2025-08-17T18:45:38.033Z,2025-08-18T01:12:20Z,76t6m3q3ye3kb7rtlansiyivo,13,2025-08-17,20:45:00,1,2,45,Nantes vs Paris Saint-Germain,Pass End X: 62.9; Length: 18.9; Pass End Y: 9.1; Zone: Right; Angle: 5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7.0,,,,,,,,,62.9,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,5.27,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,cfyvxrsaf1fmg0bnqtwouwgvb,Stade de la Beaujoire - Louis Fonteneau,433,MC,possession,Posesión / circulación
2836550049,8,Pass,1,1,0,26,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain FC,PSG,away,20eqyvyrgtafzssdh0zaehdsk,I. Mbaye,62.9,9.1,1,2025-08-17T18:45:40.881Z,2025-08-18T01:12:20Z,76t6m3q3ye3kb7rtlansiyivo,13,2025-08-17,20:45:00,1,2,45,Nantes vs Paris Saint-Germain,Zone: Right; Pass End X: 57.7; Length: 6.5; Pass End Y: 14.3; Angle: 2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Right,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10.0,,,,,,,,,57.7,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,2.57,,,,,,,,,,,,,,,,,dm5ka0os1e3dxcp3vh05kmp33,Ligue 1,French Ligue 1,LIGUE 1 McDonald's,LI1,cfyvxrsaf1fmg0bnqtwouwgvb,Stade de la Beaujoire - Louis Fonteneau,433,LW,possession,Posesión / circulación
