general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2888433279,3,Pass,1,1,0,0,75qj99fhg5c0ztj2tva5u4uii,Angers Sporting Club de l'Ouest,SCO,home,avrytipllm79xl3g4lf6si5wq,L. Mouton,50.0,50.0,1,2026-01-10T14:30:47.431Z,2026-01-10T14:30:49Z,7u4sr9j2bzpg9p2xaryakxlas,13,2026-01-10,15:30:00,,2,45,Angers SCO vs Toulouse,Length: 9.2; Pass End Y: 56.7; Pass End X: 42.4; Angle: 2.62; Zone: Back,"ID: 278, Value: N/A; ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.0,,,,,,,,,42.4,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,2.62,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,4231,CAM,possession,Posesión / circulación
2888433323,4,Pass,1,1,0,2,75qj99fhg5c0ztj2tva5u4uii,Angers Sporting Club de l'Ouest,SCO,home,dvtd4xsoihe7srn69irnng5w5,P. Capelle,42.4,56.7,1,2026-01-10T14:30:49.672Z,2026-01-10T14:30:52Z,7u4sr9j2bzpg9p2xaryakxlas,13,2026-01-10,15:30:00,,2,45,Angers SCO vs Toulouse,Angle: 2.64; Zone: Back; Pass End X: 27.5; Pass End Y: 69.4; Length: 17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.0,,,,,,,,,27.5,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,2.64,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,4231,CDM,possession,Posesión / circulación
2888433337,5,Pass,1,1,0,4,75qj99fhg5c0ztj2tva5u4uii,Angers Sporting Club de l'Ouest,SCO,home,ar3g1flq7vgbl90q9t1v4y02d,J. Lefort,27.2,69.1,1,2026-01-10T14:30:52.184Z,2026-01-10T14:30:53Z,7u4sr9j2bzpg9p2xaryakxlas,13,2026-01-10,15:30:00,,2,45,Angers SCO vs Toulouse,Zone: Back; Pass End Y: 50.7; Pass End X: 31.4; Length: 13.3; Angle: 5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.0,,,,,,,,,31.4,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,5.05,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,4231,CB,possession,Posesión / circulación
2888433375,6,Pass,1,1,0,5,75qj99fhg5c0ztj2tva5u4uii,Angers Sporting Club de l'Ouest,SCO,home,dom1dzrvk7y4sd8puf8iztn11,H. Belkebla,31.4,50.7,1,2026-01-10T14:30:53.400Z,2026-01-10T14:30:56Z,7u4sr9j2bzpg9p2xaryakxlas,13,2026-01-10,15:30:00,,2,45,Angers SCO vs Toulouse,Pass End Y: 37.9; Length: 10.4; Pass End X: 26.0; Zone: Back; Angle: 4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.0,,,,,,,,,26.0,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,4.14,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,4231,CDM,possession,Posesión / circulación
2888433425,7,Pass,1,1,0,9,75qj99fhg5c0ztj2tva5u4uii,Angers Sporting Club de l'Ouest,SCO,home,eouwziiusxkpmhn5m1fj9vyms,E. Biumla,25.7,36.7,1,2026-01-10T14:30:56.456Z,2026-01-10T14:30:59Z,7u4sr9j2bzpg9p2xaryakxlas,13,2026-01-10,15:30:00,,2,45,Angers SCO vs Toulouse,Length: 14.6; Pass End Y: 52.5; Zone: Back; Pass End X: 16.3; Angle: 2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,,,,,,,,,16.3,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,2.31,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,4231,CB,possession,Posesión / circulación
2888433539,8,Pass,1,1,0,12,75qj99fhg5c0ztj2tva5u4uii,Angers Sporting Club de l'Ouest,SCO,home,2npgr2t9a1tdqvomg3khczl78,O. Pona,14.6,56.3,1,2026-01-10T14:30:59.480Z,2026-01-10T14:31:04Z,7u4sr9j2bzpg9p2xaryakxlas,13,2026-01-10,15:30:00,,2,45,Angers SCO vs Toulouse,Angle: 1.21; Zone: Back; Length: 11.7; Pass End Y: 72.4; Pass End X: 18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Back,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.0,,,,,,,,,18.5,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,1.21,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,4231,GK,possession,Posesión / circulación
2888433585,9,Pass,1,1,0,17,75qj99fhg5c0ztj2tva5u4uii,Angers Sporting Club de l'Ouest,SCO,home,ar3g1flq7vgbl90q9t1v4y02d,J. Lefort,24.1,69.3,1,2026-01-10T14:31:04.824Z,2026-01-10T14:31:08Z,7u4sr9j2bzpg9p2xaryakxlas,13,2026-01-10,15:30:00,,2,45,Angers SCO vs Toulouse,Long ball: Si; Switch of play: Si; Length: 43.2; Angle: 4.89; Pass End Y: 6.7; Pass End X: 31.2; Zone: Back,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.0,,,,,,,,,31.2,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,43.2,4.89,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,4231,CB,possession,Posesión / circulación
2888433611,10,Pass,1,1,0,20,75qj99fhg5c0ztj2tva5u4uii,Angers Sporting Club de l'Ouest,SCO,home,4l4hmsih1jyb9jegs60cbn4oa,L. Raolisoa,32.8,5.5,1,2026-01-10T14:31:08.249Z,2026-01-10T14:31:11Z,7u4sr9j2bzpg9p2xaryakxlas,13,2026-01-10,15:30:00,,2,45,Angers SCO vs Toulouse,Zone: Back; Angle: 2.17; Pass End Y: 26.5; Pass End X: 23.6; Length: 17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2.0,,,,,,,,,23.6,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,2.17,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,4231,RB,possession,Posesión / circulación
2888433679,11,Pass,1,1,0,23,75qj99fhg5c0ztj2tva5u4uii,Angers Sporting Club de l'Ouest,SCO,home,eouwziiusxkpmhn5m1fj9vyms,E. Biumla,23.8,29.7,1,2026-01-10T14:31:11.113Z,2026-01-10T14:31:17Z,7u4sr9j2bzpg9p2xaryakxlas,13,2026-01-10,15:30:00,,2,45,Angers SCO vs Toulouse,Pass End Y: 58.5; Zone: Back; Pass End X: 19.5; Length: 20.1; Angle: 1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,,,,,,,,,19.5,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,1.8,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,4231,CB,possession,Posesión / circulación
2888433697,12,Pass,1,1,0,29,75qj99fhg5c0ztj2tva5u4uii,Angers Sporting Club de l'Ouest,SCO,home,ar3g1flq7vgbl90q9t1v4y02d,J. Lefort,27.1,66.6,1,2026-01-10T14:31:17.352Z,2026-01-10T14:31:18Z,7u4sr9j2bzpg9p2xaryakxlas,13,2026-01-10,15:30:00,,2,45,Angers SCO vs Toulouse,Length: 23.1; Angle: 1.12; Pass End Y: 97.2; Zone: Back; Pass End X: 36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.0,,,,,,,,,36.7,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,1.12,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,61bugn13lemvmqwiucwyyakov,Stade Raymond Kopa,4231,CB,possession,Posesión / circulación
