general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2888433165,3,Pass,1,1,0,0,6l07ga27xfsr7485fuc1ilkkc,SC Bastia,SCB,home,2w4a8tsiwi3azl6wakw2yuru2,F. Tomi,49.8,50.0,1,2026-01-10T14:30:37.380Z,2026-01-10T14:30:42Z,7al479cig6mixuf1an701z21g,13,2026-01-10,15:30:00,,2,45,Bastia vs Troyes,Length: 23.2; Pass End Y: 49.3; Zone: Back; Pass End X: 27.7; Angle: 3.16,"ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Back,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9.0,,,,,,,,,27.7,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,3.16,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,f4np4y5u83iar7iquw9f0fv2k,Stade Armand-Césari,433,CF,possession,Posesión / circulación
2888433193,4,Pass,1,1,0,4,6l07ga27xfsr7485fuc1ilkkc,SC Bastia,SCB,home,7j2kef8h2lkz7slmtepynu5g4,L. Olmeta,27.7,49.3,0,2026-01-10T14:30:42.100Z,2026-01-11T15:43:08Z,7al479cig6mixuf1an701z21g,13,2026-01-10,15:30:00,,2,45,Bastia vs Troyes,Length: 38.5; Launch: Si; Angle: 5.59; Long ball: Si; Pass End Y: 13.0; Zone: Right; Pass End X: 55.9,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Right,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,,,,,,,,,55.9,13.0,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,5.59,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,f4np4y5u83iar7iquw9f0fv2k,Stade Armand-Césari,433,GK,possession,Posesión / circulación
2888433225,3,Pass,1,1,0,6,3unkqo2g6ag99gd5ynz1j7vse,Espérance Sportive Troyes Aube Champagne,TRO,away,3r0zrk71q71wjv2fqiu7qq2ok,J. Assoumou,43.8,92.6,1,2026-01-10T14:30:44.350Z,2026-01-10T14:30:46Z,7al479cig6mixuf1an701z21g,13,2026-01-10,15:30:00,,2,45,Bastia vs Troyes,Head pass: Si; Pass End X: 60.1; Pass End Y: 87.4; Zone: Left; Length: 17.5; Angle: 6.08,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Left,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11.0,,,,,,,,,60.1,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,6.08,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,f4np4y5u83iar7iquw9f0fv2k,Stade Armand-Césari,4231,LW,possession,Posesión / circulación
2888433305,5,Pass,1,1,0,10,6l07ga27xfsr7485fuc1ilkkc,SC Bastia,SCB,home,3ytyicl8uhpnpdgzff9tkyb4l,D. Guidi,37.2,23.6,1,2026-01-10T14:30:47.541Z,2026-01-10T14:30:51Z,7al479cig6mixuf1an701z21g,13,2026-01-10,15:30:00,,2,45,Bastia vs Troyes,Pass End X: 13.4; Length: 28.3; Angle: 2.66; Pass End Y: 43.0; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.0,,,,,,,,,13.4,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,2.66,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,f4np4y5u83iar7iquw9f0fv2k,Stade Armand-Césari,433,CB,possession,Posesión / circulación
2888433393,6,Pass,1,1,0,14,6l07ga27xfsr7485fuc1ilkkc,SC Bastia,SCB,home,7j2kef8h2lkz7slmtepynu5g4,L. Olmeta,12.8,43.6,1,2026-01-10T14:30:51.780Z,2026-01-10T14:30:57Z,7al479cig6mixuf1an701z21g,13,2026-01-10,15:30:00,,2,45,Bastia vs Troyes,Zone: Back; Pass End Y: 58.2; Pass End X: 20.4; Angle: 0.89; Length: 12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Back,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,,,,,,,,,20.4,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,0.89,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,f4np4y5u83iar7iquw9f0fv2k,Stade Armand-Césari,433,GK,possession,Posesión / circulación
2888433513,7,Pass,1,1,0,20,6l07ga27xfsr7485fuc1ilkkc,SC Bastia,SCB,home,4tsb5lvs8qpdw16wb1hl4h9ii,J. Guevara,23.1,55.7,1,2026-01-10T14:30:57.397Z,2026-01-10T14:31:03Z,7al479cig6mixuf1an701z21g,13,2026-01-10,15:30:00,,2,45,Bastia vs Troyes,Pass End Y: 38.5; Angle: 4.81; Pass End X: 24.2; Length: 11.8; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,24.2,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,4.81,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,f4np4y5u83iar7iquw9f0fv2k,Stade Armand-Césari,433,CB,possession,Posesión / circulación
2888433527,8,Pass,1,1,0,25,6l07ga27xfsr7485fuc1ilkkc,SC Bastia,SCB,home,3ytyicl8uhpnpdgzff9tkyb4l,D. Guidi,24.9,38.8,0,2026-01-10T14:31:03.108Z,2026-01-10T15:22:02Z,7al479cig6mixuf1an701z21g,13,2026-01-10,15:30:00,,2,45,Bastia vs Troyes,Angle: 5.89; Launch: Si; Long ball: Si; Length: 42.9; Pass End X: 62.7; Zone: Right; Pass End Y: 14.8,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Right,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.0,,,,,,,,,62.7,14.8,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,5.89,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,f4np4y5u83iar7iquw9f0fv2k,Stade Armand-Césari,433,CB,possession,Posesión / circulación
2888433787,8,Pass,1,1,0,44,3unkqo2g6ag99gd5ynz1j7vse,Espérance Sportive Troyes Aube Champagne,TRO,away,d9pacjyllv546b9qe0arx2nvu,I. Boura,24.7,100.0,0,2026-01-10T14:31:22.316Z,2026-01-10T14:31:24Z,7al479cig6mixuf1an701z21g,13,2026-01-10,15:30:00,,2,45,Bastia vs Troyes,Angle: 5.93; Zone: Back; Pass End X: 42.8; Length: 20.3; Pass End Y: 90.6; Throw In: Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,8,3.0,,,,,,,,,42.8,90.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,5.93,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,f4np4y5u83iar7iquw9f0fv2k,Stade Armand-Césari,4231,LB,possession,Posesión / circulación
2888433805,12,Pass,1,1,0,48,6l07ga27xfsr7485fuc1ilkkc,SC Bastia,SCB,home,3ytyicl8uhpnpdgzff9tkyb4l,D. Guidi,59.1,9.8,0,2026-01-10T14:31:25.798Z,2026-01-10T14:31:26Z,7al479cig6mixuf1an701z21g,13,2026-01-10,15:30:00,,2,45,Bastia vs Troyes,Length: 13.7; Angle: 0.44; Pass End X: 70.9; Zone: Right; Head pass: Si; Pass End Y: 18.4,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Right,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.0,,,,,,,,,70.9,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,0.44,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,f4np4y5u83iar7iquw9f0fv2k,Stade Armand-Césari,433,CB,possession,Posesión / circulación
2888433821,9,Pass,1,1,0,49,3unkqo2g6ag99gd5ynz1j7vse,Espérance Sportive Troyes Aube Champagne,TRO,away,37zvqmyd52nj302q18liurwbu,A. Phliponeau,36.6,84.8,0,2026-01-10T14:31:26.845Z,2026-01-10T14:31:27Z,7al479cig6mixuf1an701z21g,13,2026-01-10,15:30:00,,2,45,Bastia vs Troyes,Length: 7.6; Head pass: Si; Zone: Back; Pass End Y: 74.1; Pass End X: 38.7; Angle: 5.01,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.0,,,,,,,,,38.7,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,5.01,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,f4np4y5u83iar7iquw9f0fv2k,Stade Armand-Césari,4231,CDM,possession,Posesión / circulación
