general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2888967647,3,Pass,1,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,REN,away,36yupk7p1vks4dbguw53xhucp,M. Camara,50.1,50.0,1,2026-01-11T17:01:54.919Z,2026-01-11T17:01:58Z,5otcm0x1k86z9qtzkwydvt91w,13,2026-01-11,18:00:00,,2,45,Chantilly vs Rennes,Angle: 3.12; Pass End Y: 50.7; Zone: Back; Length: 23.1; Pass End X: 28.1,"ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8.0,,,,,,,,,28.1,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,3.12,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7pd6x8ziph9vbc1crfy5up8lh,Stade Pierre Brisson,352,MC,possession,Posesión / circulación
2888967743,4,Pass,1,1,0,3,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,REN,away,4c4ghf9zlkof83n5mnmva61d6,A. Rouault,29.9,50.4,0,2026-01-11T17:01:58.637Z,2026-01-11T17:11:12Z,5otcm0x1k86z9qtzkwydvt91w,13,2026-01-11,18:00:00,,2,45,Chantilly vs Rennes,Long ball: Si; Angle: 0.41; Pass End X: 100.0; Zone: Left; Launch: Si; Length: 80.7; Pass End Y: 97.4,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Left,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5.0,,,,,,,,,100.0,97.4,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7,0.41,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7pd6x8ziph9vbc1crfy5up8lh,Stade Pierre Brisson,352,CB,possession,Posesión / circulación
2888968007,4,Pass,1,1,0,31,7q4ud5wopraqyf26zpe282u2i,US Chantilly,CHT,home,7ik61ha6am2wpug86h48sskfe,C. Michel,4.8,57.9,0,2026-01-11T17:02:26.070Z,2026-01-12T07:22:12Z,5otcm0x1k86z9qtzkwydvt91w,13,2026-01-11,18:00:00,,2,45,Chantilly vs Rennes,Pass End Y: 72.7; Zone: Center; Angle: 0.19; Goal Kick: Si; Long ball: Si; High: Si; Length: 53.6; Pass End X: 54.9,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Center,,1.0,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,17,1.0,,,,,,,,,54.9,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,0.19,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7pd6x8ziph9vbc1crfy5up8lh,Stade Pierre Brisson,3421,GK,possession,Posesión / circulación
2888968085,8,Pass,1,1,0,40,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,REN,away,9yfnfwqog4y572aoe2iztnbv9,L. Blas,47.0,8.0,1,2026-01-11T17:02:34.990Z,2026-01-12T07:22:39Z,5otcm0x1k86z9qtzkwydvt91w,13,2026-01-11,18:00:00,,2,45,Chantilly vs Rennes,Long ball: Si; Switch of play: Si; Angle: 1.84; Zone: Back; Pass End Y: 85.9; Length: 55.0; Pass End X: 33.0; Chipped: Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7.0,,,,,,,,,33.0,85.9,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,55.0,1.84,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7pd6x8ziph9vbc1crfy5up8lh,Stade Pierre Brisson,352,MC,possession,Posesión / circulación
2888968117,9,Pass,1,1,0,44,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,REN,away,a8pgjuz5yrbxyf1t905gj327d,Mousa Tamari,37.2,78.4,1,2026-01-11T17:02:39.598Z,2026-01-11T17:02:43Z,5otcm0x1k86z9qtzkwydvt91w,13,2026-01-11,18:00:00,,2,45,Chantilly vs Rennes,Length: 27.5; Pass End Y: 37.9; Zone: Back; Angle: 4.69; Pass End X: 36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3.0,,,,,,,,,36.5,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,4.69,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7pd6x8ziph9vbc1crfy5up8lh,Stade Pierre Brisson,352,LWB,possession,Posesión / circulación
2888968159,10,Pass,1,1,0,48,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,REN,away,7j0fv43b1dkuiqk71ym4mmw6i,A. Seidu,38.3,30.4,1,2026-01-11T17:02:43.790Z,2026-01-11T17:02:48Z,5otcm0x1k86z9qtzkwydvt91w,13,2026-01-11,18:00:00,,2,45,Chantilly vs Rennes,Length: 15.0; Pass End X: 37.6; Zone: Back; Angle: 1.62; Pass End Y: 52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6.0,,,,,,,,,37.6,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.62,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7pd6x8ziph9vbc1crfy5up8lh,Stade Pierre Brisson,352,CB,possession,Posesión / circulación
2888968193,11,Pass,1,1,0,53,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,REN,away,4c4ghf9zlkof83n5mnmva61d6,A. Rouault,55.0,59.7,1,2026-01-11T17:02:48.254Z,2026-01-11T17:34:46Z,5otcm0x1k86z9qtzkwydvt91w,13,2026-01-11,18:00:00,,2,45,Chantilly vs Rennes,Pass End X: 51.4; Angle: 1.75; Length: 21.1; Pass End Y: 90.3; Zone: Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Left,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5.0,,,,,,,,,51.4,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,1.75,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7pd6x8ziph9vbc1crfy5up8lh,Stade Pierre Brisson,352,CB,possession,Posesión / circulación
2888968235,12,Pass,1,1,0,56,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,REN,away,cg0yobsmbeqqdzpiynwt6m0ic,J. Jacquet,52.6,90.0,1,2026-01-11T17:02:51.070Z,2026-01-11T17:34:49Z,5otcm0x1k86z9qtzkwydvt91w,13,2026-01-11,18:00:00,,2,45,Chantilly vs Rennes,Angle: 6.14; Pass End X: 65.2; Length: 13.4; Pass End Y: 87.2; Zone: Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Left,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4.0,,,,,,,,,65.2,87.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,6.14,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7pd6x8ziph9vbc1crfy5up8lh,Stade Pierre Brisson,352,CB,possession,Posesión / circulación
2888968245,13,Pass,1,1,1,0,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,REN,away,36yupk7p1vks4dbguw53xhucp,M. Camara,58.2,95.7,0,2026-01-11T17:02:54.878Z,2026-01-11T17:02:55Z,5otcm0x1k86z9qtzkwydvt91w,13,2026-01-11,18:00:00,,2,45,Chantilly vs Rennes,Pass End X: 56.8; Length: 1.5; Angle: 3.19; Pass End Y: 95.6; Zone: Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Left,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8.0,,,,,,,,,56.8,95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3.19,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7pd6x8ziph9vbc1crfy5up8lh,Stade Pierre Brisson,352,MC,possession,Posesión / circulación
2888968303,14,Pass,1,1,1,2,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,REN,away,cg0yobsmbeqqdzpiynwt6m0ic,J. Jacquet,43.2,87.7,1,2026-01-11T17:02:57.471Z,2026-01-11T17:35:29Z,5otcm0x1k86z9qtzkwydvt91w,13,2026-01-11,18:00:00,,2,45,Chantilly vs Rennes,Length: 15.4; Pass End X: 38.4; Angle: 4.38; Zone: Back; Pass End Y: 66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4.0,,,,,,,,,38.4,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,4.38,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7pd6x8ziph9vbc1crfy5up8lh,Stade Pierre Brisson,352,CB,possession,Posesión / circulación
