general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2888581143,3,Pass,1,1,0,0,70nn27vgkt6l48lvv5e66q7ww,FC Lorient,FCL,away,3hiehiu25aufrc0q9890haqc5,L. Abergel,49.8,50.2,1,2026-01-10T17:00:27.237Z,2026-01-10T17:00:30Z,4i7j9ngsb9xd8nn18by520m50,13,2026-01-10,18:00:00,,2,45,Hauts Lyonnais vs Lorient,Pass End Y: 51.0; Pass End X: 47.3; Angle: 2.94; Zone: Back; Length: 2.7,"ID: 278, Value: N/A; ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,8.0,,,,,,,,,47.3,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.94,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cxpe0h6kuurtax43t9tpqd0bt,L'Envol Stadium,4222,CAM,possession,Posesión / circulación
2888581175,4,Pass,1,1,0,2,70nn27vgkt6l48lvv5e66q7ww,FC Lorient,FCL,away,60no437awq8i5th7nlffh3dn9,J. Makengo,52.5,55.6,1,2026-01-10T17:00:29.995Z,2026-01-10T17:00:34Z,4i7j9ngsb9xd8nn18by520m50,13,2026-01-10,18:00:00,,2,45,Hauts Lyonnais vs Lorient,Angle: 1.19; Length: 29.6; Zone: Left; Pass End X: 62.9; Pass End Y: 96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Left,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4.0,,,,,,,,,62.9,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,1.19,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cxpe0h6kuurtax43t9tpqd0bt,L'Envol Stadium,4222,CDM,possession,Posesión / circulación
2888581241,5,Pass,1,1,0,6,70nn27vgkt6l48lvv5e66q7ww,FC Lorient,FCL,away,2zvbw080n4yro1phgv39ri3qi,T. Le Bris,61.4,95.1,1,2026-01-10T17:00:34.075Z,2026-01-10T17:12:52Z,4i7j9ngsb9xd8nn18by520m50,13,2026-01-10,18:00:00,,2,45,Hauts Lyonnais vs Lorient,Pass End X: 36.3; Length: 30.7; Angle: 3.68; Pass End Y: 72.0; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3.0,,,,,,,,,36.3,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,3.68,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cxpe0h6kuurtax43t9tpqd0bt,L'Envol Stadium,4222,LB,possession,Posesión / circulación
2888581245,6,Pass,1,1,0,15,70nn27vgkt6l48lvv5e66q7ww,FC Lorient,FCL,away,31ur1f7xmxndnnabhrxyov6xh,Igor Silva,37.4,67.5,1,2026-01-10T17:00:42.906Z,2026-01-10T17:14:17Z,4i7j9ngsb9xd8nn18by520m50,13,2026-01-10,18:00:00,,2,45,Hauts Lyonnais vs Lorient,Length: 22.0; Angle: 4.71; Pass End X: 37.3; Pass End Y: 35.2; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6.0,,,,,,,,,37.3,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,4.71,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cxpe0h6kuurtax43t9tpqd0bt,L'Envol Stadium,4222,CB,possession,Posesión / circulación
2888581259,7,Pass,1,1,0,16,70nn27vgkt6l48lvv5e66q7ww,FC Lorient,FCL,away,csye3q50ciculdiggvcefx8x6,N. Adjei,37.3,35.2,1,2026-01-10T17:00:43.946Z,2026-01-10T17:00:45Z,4i7j9ngsb9xd8nn18by520m50,13,2026-01-10,18:00:00,,2,45,Hauts Lyonnais vs Lorient,Angle: 0.89; Pass End X: 46.0; Pass End Y: 51.9; Zone: Back; Length: 14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5.0,,,,,,,,,46.0,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,0.89,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cxpe0h6kuurtax43t9tpqd0bt,L'Envol Stadium,4222,CB,possession,Posesión / circulación
2888581279,8,Pass,1,1,0,18,70nn27vgkt6l48lvv5e66q7ww,FC Lorient,FCL,away,3hiehiu25aufrc0q9890haqc5,L. Abergel,46.0,51.9,1,2026-01-10T17:00:45.322Z,2026-01-10T17:00:46Z,4i7j9ngsb9xd8nn18by520m50,13,2026-01-10,18:00:00,,2,45,Hauts Lyonnais vs Lorient,Angle: 4.46; Length: 16.6; Pass End X: 42.0; Zone: Back; Pass End Y: 28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,8.0,,,,,,,,,42.0,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,4.46,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cxpe0h6kuurtax43t9tpqd0bt,L'Envol Stadium,4222,CAM,possession,Posesión / circulación
2888581303,9,Pass,1,1,0,19,70nn27vgkt6l48lvv5e66q7ww,FC Lorient,FCL,away,csye3q50ciculdiggvcefx8x6,N. Adjei,46.9,22.1,1,2026-01-10T17:00:46.859Z,2026-01-12T10:08:41Z,4i7j9ngsb9xd8nn18by520m50,13,2026-01-10,18:00:00,,2,45,Hauts Lyonnais vs Lorient,Zone: Back; Pass End Y: 45.8; Angle: 1.39; Pass End X: 49.7; Length: 16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5.0,,,,,,,,,49.7,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,1.39,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cxpe0h6kuurtax43t9tpqd0bt,L'Envol Stadium,4222,CB,possession,Posesión / circulación
2888581305,10,Pass,1,1,0,23,70nn27vgkt6l48lvv5e66q7ww,FC Lorient,FCL,away,3hiehiu25aufrc0q9890haqc5,L. Abergel,54.0,45.9,1,2026-01-10T17:00:50.843Z,2026-01-10T17:00:51Z,4i7j9ngsb9xd8nn18by520m50,13,2026-01-10,18:00:00,,2,45,Hauts Lyonnais vs Lorient,Angle: 4.18; Zone: Back; Length: 15.6; Pass End Y: 26.2; Pass End X: 46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,8.0,,,,,,,,,46.4,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,4.18,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cxpe0h6kuurtax43t9tpqd0bt,L'Envol Stadium,4222,CAM,possession,Posesión / circulación
2888581339,11,Pass,1,1,0,24,70nn27vgkt6l48lvv5e66q7ww,FC Lorient,FCL,away,csye3q50ciculdiggvcefx8x6,N. Adjei,52.8,18.2,1,2026-01-10T17:00:51.659Z,2026-01-12T10:08:53Z,4i7j9ngsb9xd8nn18by520m50,13,2026-01-10,18:00:00,,2,45,Hauts Lyonnais vs Lorient,Pass End Y: 4.1; Zone: Right; Pass End X: 61.0; Length: 12.9; Angle: 5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Right,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5.0,,,,,,,,,61.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,5.44,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cxpe0h6kuurtax43t9tpqd0bt,L'Envol Stadium,4222,CB,possession,Posesión / circulación
2888581377,12,Pass,1,1,0,28,70nn27vgkt6l48lvv5e66q7ww,FC Lorient,FCL,away,38cotevgsirv0csora7bar3vu,B. Meïté,62.3,3.1,0,2026-01-10T17:00:56.091Z,2026-01-10T17:15:35Z,4i7j9ngsb9xd8nn18by520m50,13,2026-01-10,18:00:00,,2,45,Hauts Lyonnais vs Lorient,Length: 16.8; Zone: Right; Pass End Y: 21.1; Pass End X: 73.3; Angle: 0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Right,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2.0,,,,,,,,,73.3,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,0.81,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cxpe0h6kuurtax43t9tpqd0bt,L'Envol Stadium,4222,RB,possession,Posesión / circulación
