general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2888581069,3,Pass,1,1,0,0,75gwk94q9jkoh78jk8nlay4xj,Stade Lavallois Mayenne FC,LAV,away,3pli8kudxxa2vgxw0p99t4bmd,C. Mandouki,50.0,50.0,1,2026-01-10T17:00:18.290Z,2026-01-10T17:00:20Z,qw7ed9c3haxpaccas4si7eac,13,2026-01-10,18:00:00,,2,45,Istres vs Laval,Pass End Y: 46.8; Zone: Center; Pass End X: 51.4; Length: 2.6; Angle: 5.31,"ID: 279, Value: S; ID: 278, Value: N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7.0,,,,,,,,,51.4,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,5.31,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,6kkde9ynysn2n0vwzf2f0ftk2,Stade Parsemain,3412,MC,possession,Posesión / circulación
2888581073,4,Pass,1,1,0,2,75gwk94q9jkoh78jk8nlay4xj,Stade Lavallois Mayenne FC,LAV,away,p0mxanyduypz74sghy2wm6i2,J. Maggiotti,51.4,46.8,1,2026-01-10T17:00:20.544Z,2026-01-10T17:01:11Z,qw7ed9c3haxpaccas4si7eac,13,2026-01-10,18:00:00,,2,45,Istres vs Laval,Pass End X: 60.6; Pass End Y: 24.3; Angle: 5.28; Zone: Center; Length: 18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Center,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,9.0,,,,,,,,,60.6,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,5.28,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,6kkde9ynysn2n0vwzf2f0ftk2,Stade Parsemain,3412,CAM,possession,Posesión / circulación
2888581087,5,Pass,1,1,0,4,75gwk94q9jkoh78jk8nlay4xj,Stade Lavallois Mayenne FC,LAV,away,63ox7kqo9rl36cvk4joqh9soa,E. Maddy,60.2,16.2,1,2026-01-10T17:00:23.168Z,2026-01-10T17:01:14Z,qw7ed9c3haxpaccas4si7eac,13,2026-01-10,18:00:00,,2,45,Istres vs Laval,Zone: Back; Angle: 2.99; Pass End X: 34.4; Length: 27.4; Pass End Y: 22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Back,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10.0,,,,,,,,,34.4,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,2.99,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,6kkde9ynysn2n0vwzf2f0ftk2,Stade Parsemain,3412,CF,possession,Posesión / circulación
2888581115,6,Pass,1,1,0,7,75gwk94q9jkoh78jk8nlay4xj,Stade Lavallois Mayenne FC,LAV,away,4uirgmoz71hva0kg33t7gjc9,P. Ouaneh,36.1,26.7,1,2026-01-10T17:00:25.871Z,2026-01-10T17:00:27Z,qw7ed9c3haxpaccas4si7eac,13,2026-01-10,18:00:00,,2,45,Istres vs Laval,Angle: 1.72; Pass End Y: 47.5; Length: 14.3; Pass End X: 34.1; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6.0,,,,,,,,,34.1,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,1.72,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,6kkde9ynysn2n0vwzf2f0ftk2,Stade Parsemain,3412,CB,possession,Posesión / circulación
2888581123,7,Pass,1,1,0,9,75gwk94q9jkoh78jk8nlay4xj,Stade Lavallois Mayenne FC,LAV,away,3qx38uytg8hdc1izxnmb69rdh,Yohan Tavares,34.4,46.0,1,2026-01-10T17:00:27.872Z,2026-01-10T17:26:42Z,qw7ed9c3haxpaccas4si7eac,13,2026-01-10,18:00:00,,2,45,Istres vs Laval,Zone: Back; Pass End X: 33.4; Length: 14.6; Pass End Y: 24.6; Angle: 4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5.0,,,,,,,,,33.4,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,4.64,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,6kkde9ynysn2n0vwzf2f0ftk2,Stade Parsemain,3412,CB,possession,Posesión / circulación
2888581193,8,Pass,1,1,0,11,75gwk94q9jkoh78jk8nlay4xj,Stade Lavallois Mayenne FC,LAV,away,4uirgmoz71hva0kg33t7gjc9,P. Ouaneh,33.4,20.7,1,2026-01-10T17:00:30.176Z,2026-01-10T17:00:37Z,qw7ed9c3haxpaccas4si7eac,13,2026-01-10,18:00:00,,2,45,Istres vs Laval,Length: 52.9; Angle: 0.00; Pass End X: 83.8; Pass End Y: 20.7; Zone: Right; Long ball: Si; Chipped: Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Right,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6.0,,,,,,,,,83.8,20.7,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9,0.0,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,6kkde9ynysn2n0vwzf2f0ftk2,Stade Parsemain,3412,CB,possession,Posesión / circulación
2888581197,9,Pass,1,1,0,19,75gwk94q9jkoh78jk8nlay4xj,Stade Lavallois Mayenne FC,LAV,away,63ox7kqo9rl36cvk4joqh9soa,E. Maddy,96.2,29.2,0,2026-01-10T17:00:37.359Z,2026-01-10T17:00:38Z,qw7ed9c3haxpaccas4si7eac,13,2026-01-10,18:00:00,,2,45,Istres vs Laval,Angle: 1.43; Zone: Center; Pass End X: 97.4; Length: 8.9; Pass End Y: 42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Center,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10.0,,,,,,,,,97.4,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,1.43,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,6kkde9ynysn2n0vwzf2f0ftk2,Stade Parsemain,3412,CF,possession,Posesión / circulación
2888581215,10,Pass,1,1,0,20,75gwk94q9jkoh78jk8nlay4xj,Stade Lavallois Mayenne FC,LAV,away,63ox7kqo9rl36cvk4joqh9soa,E. Maddy,95.5,30.4,1,2026-01-10T17:00:39.231Z,2026-01-10T17:01:08Z,qw7ed9c3haxpaccas4si7eac,13,2026-01-10,18:00:00,,2,45,Istres vs Laval,Length: 11.3; Angle: 1.97; Pass End Y: 45.7; Zone: Center; Pass End X: 91.3; Pull Back: Si; Intentional Assist: Si; Assist: 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Center,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10.0,,,,,,,,,91.3,45.7,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,13.0,,11.3,1.97,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,6kkde9ynysn2n0vwzf2f0ftk2,Stade Parsemain,3412,CF,possession,Posesión / circulación
2888581611,5,Pass,1,1,1,4,97lcelgset2t191dfxsswhs0v,Istres FC,IST,home,b33554sdsrgjg5kog0sgv1iei,W. Matimbou,4.4,49.1,0,2026-01-10T17:01:22.791Z,2026-01-10T17:01:25Z,qw7ed9c3haxpaccas4si7eac,13,2026-01-10,18:00:00,,2,45,Istres vs Laval,Long ball: Si; High: Si; Angle: 5.70; Zone: Right; Pass End X: 53.2; Chipped: Si; Goal Kick: Si; Player Not Visible: Si; Pass End Y: 0.0; Length: 61.3,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Right,,1.0,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,13,1.0,,,,,,,,,53.2,0.0,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,61.3,5.7,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,6kkde9ynysn2n0vwzf2f0ftk2,Stade Parsemain,343,GK,possession,Posesión / circulación
2888581711,14,Pass,1,1,1,12,75gwk94q9jkoh78jk8nlay4xj,Stade Lavallois Mayenne FC,LAV,away,1esvpea7fo5a0l520ilt8fy1g,J. Samb,52.1,100.0,1,2026-01-10T17:01:31.185Z,2026-01-10T17:47:13Z,qw7ed9c3haxpaccas4si7eac,13,2026-01-10,18:00:00,,2,45,Istres vs Laval,Long ball: Si; Length: 25.5; Angle: 6.11; Pass End Y: 94.8; Pass End X: 76.0; Zone: Left; Throw In: Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Left,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,18,3.0,,,,,,,,,76.0,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,6.11,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,6kkde9ynysn2n0vwzf2f0ftk2,Stade Parsemain,3412,LWB,possession,Posesión / circulación
