general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2888581217,3,Pass,1,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,Stade de Reims,SR,away,6xam5bquregefbepxd9rwfdh,T. Teuma,49.8,49.8,0,2026-01-10T17:00:37.766Z,2026-01-10T17:00:41Z,a6hbrh2qrtkz2gh68r4za036c,13,2026-01-10,18:00:00,,2,45,Le Puy Foot vs Reims,Length: 48.1; Long ball: Si; Launch: Si; Pass End Y: 0.0; Angle: 5.47; Zone: Right; Pass End X: 81.3,"ID: 279, Value: S",Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.0,,,,,,,,,81.3,0.0,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,5.47,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,451dim46dfdo2ghvghjgs7qdq,Stade Charles Massot,4231,CAM,possession,Posesión / circulación
2888581365,4,Pass,1,1,0,15,9ri5xhi5qaozcqb7svbvcc4eu,Le Puy Football 43 Auvergne,PUY,home,8sbyw7b69ms0a58wd2diqeuxg,E. Goumot,22.8,100.0,1,2026-01-10T17:00:53.076Z,2026-01-10T17:49:01Z,a6hbrh2qrtkz2gh68r4za036c,13,2026-01-10,18:00:00,,2,45,Le Puy Foot vs Reims,Zone: Back; Pass End X: 26.5; Length: 5.7; Throw In: Si; Angle: 5.46; Pass End Y: 94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,12,3.0,,,,,,,,,26.5,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5.46,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,451dim46dfdo2ghvghjgs7qdq,Stade Charles Massot,352,LWB,possession,Posesión / circulación
2888581387,6,Pass,1,1,0,20,9ri5xhi5qaozcqb7svbvcc4eu,Le Puy Football 43 Auvergne,PUY,home,8sbyw7b69ms0a58wd2diqeuxg,E. Goumot,26.9,95.8,0,2026-01-10T17:00:58.377Z,2026-01-10T17:49:09Z,a6hbrh2qrtkz2gh68r4za036c,13,2026-01-10,18:00:00,,2,45,Le Puy Foot vs Reims,Pass End Y: 95.2; Launch: Si; Long ball: Si; Length: 14.4; Pass End X: 40.6; Zone: Back; Angle: 6.25,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3.0,,,,,,,,,40.6,95.2,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,6.25,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,451dim46dfdo2ghvghjgs7qdq,Stade Charles Massot,352,LWB,possession,Posesión / circulación
2888581393,5,Pass,1,1,0,21,3c3jcs7vc1t6vz5lev162jyv7,Stade de Reims,SR,away,2r0o55zkda9zi7zg77i2i7fv8,H. Sekine,53.4,3.1,0,2026-01-10T17:00:59.383Z,2026-01-10T17:54:07Z,a6hbrh2qrtkz2gh68r4za036c,13,2026-01-10,18:00:00,,2,45,Le Puy Foot vs Reims,Length: 16.9; Zone: Right; Angle: 0.19; Pass End X: 69.2; Pass End Y: 7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Right,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2.0,,,,,,,,,69.2,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,0.19,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,451dim46dfdo2ghvghjgs7qdq,Stade Charles Massot,4231,RB,possession,Posesión / circulación
2888581445,7,Pass,1,1,0,23,9ri5xhi5qaozcqb7svbvcc4eu,Le Puy Football 43 Auvergne,PUY,home,8sbyw7b69ms0a58wd2diqeuxg,E. Goumot,33.4,95.2,0,2026-01-10T17:01:01.400Z,2026-01-10T17:49:15Z,a6hbrh2qrtkz2gh68r4za036c,13,2026-01-10,18:00:00,,2,45,Le Puy Foot vs Reims,Angle: 5.99; Zone: Center; Pass End X: 80.0; Launch: Si; Length: 51.1; Pass End Y: 73.3; Long ball: Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3.0,,,,,,,,,80.0,73.3,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,5.99,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,451dim46dfdo2ghvghjgs7qdq,Stade Charles Massot,352,LWB,possession,Posesión / circulación
2888581513,7,Pass,1,1,0,34,3c3jcs7vc1t6vz5lev162jyv7,Stade de Reims,SR,away,4scfsr0qvjnh8jxrdnld9b0lx,A. Olliero,14.4,34.2,1,2026-01-10T17:01:12.016Z,2026-01-11T13:23:51Z,a6hbrh2qrtkz2gh68r4za036c,13,2026-01-10,18:00:00,,2,45,Le Puy Foot vs Reims,Pass End Y: 10.7; Pass End X: 23.5; Zone: Back; Angle: 5.25; Length: 18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Back,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.0,,,,,,,,,23.5,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,5.25,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,451dim46dfdo2ghvghjgs7qdq,Stade Charles Massot,4231,GK,possession,Posesión / circulación
2888581605,8,Pass,1,1,0,35,3c3jcs7vc1t6vz5lev162jyv7,Stade de Reims,SR,away,dfc02gc5elvlcxawpicxmn8r8,N. Ahouonon,24.0,10.3,1,2026-01-10T17:01:13.694Z,2026-01-11T13:24:17Z,a6hbrh2qrtkz2gh68r4za036c,13,2026-01-10,18:00:00,,2,45,Le Puy Foot vs Reims,Pass End X: 90.3; Chipped: Si; Zone: Right; Angle: 6.25; Long ball: Si; Pass End Y: 7.2; Length: 69.6,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Right,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,,,,,,,,,90.3,7.2,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.6,6.25,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,451dim46dfdo2ghvghjgs7qdq,Stade Charles Massot,4231,CB,possession,Posesión / circulación
2888581609,9,Pass,1,1,0,44,3c3jcs7vc1t6vz5lev162jyv7,Stade de Reims,SR,away,c7effjthwa4e2jgjn4tegp6ok,T. Diarra,87.5,14.1,0,2026-01-10T17:01:22.245Z,2026-01-10T17:01:23Z,a6hbrh2qrtkz2gh68r4za036c,13,2026-01-10,18:00:00,,2,45,Le Puy Foot vs Reims,Pass End Y: 18.1; Pass End X: 89.5; Angle: 0.91; Length: 3.4; Zone: Right,"ID: 233, Value: 8; ID: 286, Value: N/A; ID: 236, Value: N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7.0,,,,,,,,,89.5,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.91,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,451dim46dfdo2ghvghjgs7qdq,Stade Charles Massot,4231,RW,possession,Posesión / circulación
2888581617,9,Pass,1,1,0,45,9ri5xhi5qaozcqb7svbvcc4eu,Le Puy Football 43 Auvergne,PUY,home,da3v2yyli0h760h1p1mnq0991,E. Seidou,15.7,92.1,0,2026-01-10T17:01:22.950Z,2026-01-10T17:49:36Z,a6hbrh2qrtkz2gh68r4za036c,13,2026-01-10,18:00:00,,2,45,Le Puy Foot vs Reims,Pass End Y: 92.3; Length: 0.2; Pass End X: 15.8; Zone: Back; Angle: 0.91,"ID: 236, Value: N/A; ID: 286, Value: N/A; ID: 233, Value: 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4.0,,,,,,,,,15.8,92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.91,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,451dim46dfdo2ghvghjgs7qdq,Stade Charles Massot,352,CB,possession,Posesión / circulación
2888581727,13,Pass,1,1,0,53,3c3jcs7vc1t6vz5lev162jyv7,Stade de Reims,SR,away,2r0o55zkda9zi7zg77i2i7fv8,H. Sekine,80.6,0.0,1,2026-01-10T17:01:31.655Z,2026-01-10T17:01:35Z,a6hbrh2qrtkz2gh68r4za036c,13,2026-01-10,18:00:00,,2,45,Le Puy Foot vs Reims,Length: 14.6; Throw In: Si; Zone: Right; Pass End X: 73.8; Pass End Y: 16.8; Angle: 2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Right,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,8,2.0,,,,,,,,,73.8,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,2.08,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,451dim46dfdo2ghvghjgs7qdq,Stade Charles Massot,4231,RB,possession,Posesión / circulación
