general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2889027299,3,Pass,1,1,0,0,121le8unjfzug3iu9pgkqa1c7,Olympique Lyonnais,OL,away,cv6hc8tikw5u6l56j02rfqaga,T. Tessmann,50.0,50.0,1,2026-01-11T20:00:12.381Z,2026-01-11T20:00:16Z,71a79g451y2pyx27cvyijd89g,13,2026-01-11,21:00:00,,2,45,Lille vs Olympique Lyonnais,Pass End X: 52.5; Length: 2.7; Pass End Y: 51.2; Zone: Center; Angle: 0.30,"ID: 278, Value: N/A; ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7.0,,,,,,,,,52.5,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,0.3,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cis2imhy1xdbv0f6f1u4p5q1e,Decathlon Arena - Stade Pierre-Mauroy,433,MC,possession,Posesión / circulación
2889027301,4,Pass,1,1,0,4,121le8unjfzug3iu9pgkqa1c7,Olympique Lyonnais,OL,away,j0b21u0klyu8taaxmooycdpm,T. Morton,51.6,51.2,1,2026-01-11T20:00:16.788Z,2026-01-11T20:00:18Z,71a79g451y2pyx27cvyijd89g,13,2026-01-11,21:00:00,,2,45,Lille vs Olympique Lyonnais,Angle: 3.18; Zone: Back; Length: 19.5; Pass End Y: 50.0; Pass End X: 33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.0,,,,,,,,,33.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,3.18,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cis2imhy1xdbv0f6f1u4p5q1e,Decathlon Arena - Stade Pierre-Mauroy,433,MC,possession,Posesión / circulación
2889027305,5,Pass,1,1,0,5,121le8unjfzug3iu9pgkqa1c7,Olympique Lyonnais,OL,away,ctygavkrblcxra880nwej0bf9,R. Descamps,33.0,49.8,1,2026-01-11T20:00:18.244Z,2026-01-13T09:41:41Z,71a79g451y2pyx27cvyijd89g,13,2026-01-11,21:00:00,,2,45,Lille vs Olympique Lyonnais,Chipped: Si; Angle: 0.20; Long ball: Si; Zone: Center; Length: 33.7; Pass End Y: 59.7; Pass End X: 64.4,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Center,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,,,,,,,,,64.4,59.7,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,0.2,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cis2imhy1xdbv0f6f1u4p5q1e,Decathlon Arena - Stade Pierre-Mauroy,433,GK,possession,Posesión / circulación
2889027307,6,Pass,1,1,0,9,121le8unjfzug3iu9pgkqa1c7,Olympique Lyonnais,OL,away,cv6hc8tikw5u6l56j02rfqaga,T. Tessmann,65.3,59.9,1,2026-01-11T20:00:22.005Z,2026-01-11T20:00:22Z,71a79g451y2pyx27cvyijd89g,13,2026-01-11,21:00:00,,2,45,Lille vs Olympique Lyonnais,Pass End X: 58.6; Angle: 2.53; Pass End Y: 67.1; Length: 8.6; Zone: Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7.0,,,,,,,,,58.6,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,2.53,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cis2imhy1xdbv0f6f1u4p5q1e,Decathlon Arena - Stade Pierre-Mauroy,433,MC,possession,Posesión / circulación
2889027311,7,Pass,1,1,0,10,121le8unjfzug3iu9pgkqa1c7,Olympique Lyonnais,OL,away,j0b21u0klyu8taaxmooycdpm,T. Morton,58.6,67.1,1,2026-01-11T20:00:22.836Z,2026-01-11T20:00:24Z,71a79g451y2pyx27cvyijd89g,13,2026-01-11,21:00:00,,2,45,Lille vs Olympique Lyonnais,Pass End Y: 89.6; Length: 15.3; Pass End X: 57.5; Zone: Left; Angle: 1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Left,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.0,,,,,,,,,57.5,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,1.65,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cis2imhy1xdbv0f6f1u4p5q1e,Decathlon Arena - Stade Pierre-Mauroy,433,MC,possession,Posesión / circulación
2889027317,8,Pass,1,1,0,11,121le8unjfzug3iu9pgkqa1c7,Olympique Lyonnais,OL,away,40hu79d2a4k94nc52z7dblpsl,N. Tagliafico,57.4,89.6,1,2026-01-11T20:00:24.053Z,2026-01-11T20:00:26Z,71a79g451y2pyx27cvyijd89g,13,2026-01-11,21:00:00,,2,45,Lille vs Olympique Lyonnais,Zone: Back; Pass End X: 40.3; Pass End Y: 85.0; Length: 18.2; Angle: 3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.0,,,,,,,,,40.3,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,3.31,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cis2imhy1xdbv0f6f1u4p5q1e,Decathlon Arena - Stade Pierre-Mauroy,433,LB,possession,Posesión / circulación
2889027323,9,Pass,1,1,0,14,121le8unjfzug3iu9pgkqa1c7,Olympique Lyonnais,OL,away,9wo8twcbs1jnqzdy0c6y8adey,R. Kluivert,39.3,84.6,1,2026-01-11T20:00:26.708Z,2026-01-11T20:00:32Z,71a79g451y2pyx27cvyijd89g,13,2026-01-11,21:00:00,,2,45,Lille vs Olympique Lyonnais,Pass End X: 35.6; Angle: 4.57; Length: 28.2; Pass End Y: 43.5; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.0,,,,,,,,,35.6,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,4.57,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cis2imhy1xdbv0f6f1u4p5q1e,Decathlon Arena - Stade Pierre-Mauroy,433,CB,possession,Posesión / circulación
2889027325,10,Pass,1,1,0,19,121le8unjfzug3iu9pgkqa1c7,Olympique Lyonnais,OL,away,6tvnsmtj9mma96e8famksevv9,Clinton Mata,34.5,46.1,1,2026-01-11T20:00:32.180Z,2026-01-11T20:00:35Z,71a79g451y2pyx27cvyijd89g,13,2026-01-11,21:00:00,,2,45,Lille vs Olympique Lyonnais,Angle: 1.71; Length: 18.0; Zone: Back; Pass End Y: 72.4; Pass End X: 32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,32.2,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.71,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cis2imhy1xdbv0f6f1u4p5q1e,Decathlon Arena - Stade Pierre-Mauroy,433,CB,possession,Posesión / circulación
2889027327,11,Pass,1,1,0,22,121le8unjfzug3iu9pgkqa1c7,Olympique Lyonnais,OL,away,9wo8twcbs1jnqzdy0c6y8adey,R. Kluivert,31.7,72.3,1,2026-01-11T20:00:35.220Z,2026-01-11T20:00:39Z,71a79g451y2pyx27cvyijd89g,13,2026-01-11,21:00:00,,2,45,Lille vs Olympique Lyonnais,Pass End X: 33.1; Pass End Y: 39.8; Zone: Back; Length: 22.1; Angle: 4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.0,,,,,,,,,33.1,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,4.78,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cis2imhy1xdbv0f6f1u4p5q1e,Decathlon Arena - Stade Pierre-Mauroy,433,CB,possession,Posesión / circulación
2889027331,12,Pass,1,1,0,27,121le8unjfzug3iu9pgkqa1c7,Olympique Lyonnais,OL,away,6tvnsmtj9mma96e8famksevv9,Clinton Mata,33.8,38.6,1,2026-01-11T20:00:39.877Z,2026-01-11T20:00:44Z,71a79g451y2pyx27cvyijd89g,13,2026-01-11,21:00:00,,2,45,Lille vs Olympique Lyonnais,Pass End X: 41.5; Pass End Y: 5.9; Length: 23.7; Angle: 5.06; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,41.5,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,5.06,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cis2imhy1xdbv0f6f1u4p5q1e,Decathlon Arena - Stade Pierre-Mauroy,433,CB,possession,Posesión / circulación
