general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2888434673,3,Pass,1,1,0,0,5191cnvhmuct5kn7yvr0nvd9d,Amiens SC,AMI,away,as0dtrnilrm9n5qiibc462pzo,Y. Rafii,49.8,49.8,1,2026-01-10T14:32:20.972Z,2026-01-10T14:32:24Z,dqrb6u91dugdi6jkeuz3opdsk,13,2026-01-10,15:30:00,,2,45,Montreuil vs Amiens SC,Angle: 2.55; Pass End Y: 67.5; Length: 21.7; Pass End X: 32.6; Zone: Back,"ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Back,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9.0,,,,,,,,,32.6,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,2.55,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7gmev37nq408wx0xemmu3ypk9,Stade Auguste Delaune,343,CF,possession,Posesión / circulación
2888434683,4,Pass,1,1,0,3,5191cnvhmuct5kn7yvr0nvd9d,Amiens SC,AMI,away,d02uxudioxez972krliidzyzt,K. Kaïboué,33.9,69.2,0,2026-01-10T14:32:24.848Z,2026-01-10T14:32:25Z,dqrb6u91dugdi6jkeuz3opdsk,13,2026-01-10,15:30:00,,2,45,Montreuil vs Amiens SC,Angle: 0.61; Length: 24.5; Pass End Y: 90.0; Zone: Left; Pass End X: 53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Left,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4.0,,,,,,,,,53.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,0.61,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7gmev37nq408wx0xemmu3ypk9,Stade Auguste Delaune,343,CB,possession,Posesión / circulación
2888434923,4,Pass,1,1,0,13,2re7fgoqpoekswwppvy2bgfmc,Montreuil FC,MFC,home,33f0qtqa35dlwo49856mihvys,I. Dos Santos Semedo,90.9,19.2,1,2026-01-10T14:32:34.420Z,2026-01-12T13:08:57Z,dqrb6u91dugdi6jkeuz3opdsk,13,2026-01-10,15:30:00,,2,45,Montreuil vs Amiens SC,Cross: Si; Zone: Center; Right footed: Si; Outswinger: Si; Chipped: Si; Pass End X: 93.7; Angle: 1.44; Assist: 16; Fast break: Si; Pass End Y: 53.0; Length: 23.2; Intentional Assist: Si,,,Si,,,,,,,,,,,,,,,,,,Si,,,Si,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Center,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10.0,,,,,,,,,93.7,53.0,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,23.2,1.44,,,,,,,,,,,Si,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7gmev37nq408wx0xemmu3ypk9,Stade Auguste Delaune,433,LW,possession,Posesión / circulación
2888435603,5,Pass,1,1,1,8,5191cnvhmuct5kn7yvr0nvd9d,Amiens SC,AMI,away,as0dtrnilrm9n5qiibc462pzo,Y. Rafii,49.8,50.4,1,2026-01-10T14:33:29.298Z,2026-01-10T14:33:32Z,dqrb6u91dugdi6jkeuz3opdsk,13,2026-01-10,15:30:00,,2,45,Montreuil vs Amiens SC,Pass End Y: 38.5; Zone: Back; Pass End X: 39.1; Length: 13.8; Angle: 3.77,"ID: 279, Value: G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Back,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9.0,,,,,,,,,39.1,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,3.77,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7gmev37nq408wx0xemmu3ypk9,Stade Auguste Delaune,343,CF,possession,Posesión / circulación
2888435707,6,Pass,1,1,1,11,5191cnvhmuct5kn7yvr0nvd9d,Amiens SC,AMI,away,8r66a8r47loy7w44aqkz54utw,J. Nduquidi,46.2,42.3,0,2026-01-10T14:33:32.610Z,2026-01-10T14:33:40Z,dqrb6u91dugdi6jkeuz3opdsk,13,2026-01-10,15:30:00,,2,45,Montreuil vs Amiens SC,Pass End Y: 20.6; Long ball: Si; Chipped: Si; Pass End X: 100.0; Angle: 6.03; Length: 59.1; Zone: Right,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,8.0,,,,,,,,,100.0,20.6,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,6.03,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7gmev37nq408wx0xemmu3ypk9,Stade Auguste Delaune,343,MC,possession,Posesión / circulación
2889108543,728,Pass,1,1,1,39,2re7fgoqpoekswwppvy2bgfmc,Montreuil FC,MFC,home,6zay96qhgv48wkbouec0s57qi,M. Sow,4.6,60.5,1,2026-01-10T14:34:00.658Z,2026-01-12T13:10:15Z,dqrb6u91dugdi6jkeuz3opdsk,13,2026-01-10,15:30:00,,2,45,Montreuil vs Amiens SC,Pass End X: 3.8; Pass End Y: 52.7; Goal Kick: Si; Angle: 4.56; Zone: Back; Length: 5.4,"ID: 237, Value: N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,4,6.0,,,,,,,,,3.8,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,4.56,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7gmev37nq408wx0xemmu3ypk9,Stade Auguste Delaune,433,CB,possession,Posesión / circulación
2888436007,7,Pass,1,1,1,40,2re7fgoqpoekswwppvy2bgfmc,Montreuil FC,MFC,home,b95madut7aconmvyqt69o7ljp,O. Sissoko,2.8,50.1,0,2026-01-10T14:34:01.910Z,2026-01-12T13:10:01Z,dqrb6u91dugdi6jkeuz3opdsk,13,2026-01-10,15:30:00,,2,45,Montreuil vs Amiens SC,Length: 58.2; Zone: Back; Long ball: Si; Angle: 5.64; Pass End Y: 0.0; Pass End X: 47.3; Launch: Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Back,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,,,,,,,,,47.3,0.0,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2,5.64,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7gmev37nq408wx0xemmu3ypk9,Stade Auguste Delaune,433,GK,possession,Posesión / circulación
2888436149,9,Pass,1,1,1,51,5191cnvhmuct5kn7yvr0nvd9d,Amiens SC,AMI,away,aw07l5d6hk6ucyazu1damahp0,Y. Ikia Dimi,54.9,100.0,1,2026-01-10T14:34:12.405Z,2026-01-10T14:34:15Z,dqrb6u91dugdi6jkeuz3opdsk,13,2026-01-10,15:30:00,,2,45,Montreuil vs Amiens SC,Zone: Back; Angle: 4.08; Pass End X: 46.9; Throw In: Si; Length: 14.3; Pass End Y: 85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,13,3.0,,,,,,,,,46.9,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,4.08,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7gmev37nq408wx0xemmu3ypk9,Stade Auguste Delaune,343,LWB,possession,Posesión / circulación
2888436173,10,Pass,1,1,1,54,5191cnvhmuct5kn7yvr0nvd9d,Amiens SC,AMI,away,cu2noj1tzmvl5unu2wazyiqs4,I. Fofana,53.6,87.4,1,2026-01-10T14:34:15.027Z,2026-01-10T14:34:16Z,dqrb6u91dugdi6jkeuz3opdsk,13,2026-01-10,15:30:00,,2,45,Montreuil vs Amiens SC,Length: 9.8; Angle: 4.73; Pass End Y: 73.0; Zone: Center; Pass End X: 53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7.0,,,,,,,,,53.8,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,4.73,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7gmev37nq408wx0xemmu3ypk9,Stade Auguste Delaune,343,MC,possession,Posesión / circulación
2888436211,11,Pass,1,1,1,55,5191cnvhmuct5kn7yvr0nvd9d,Amiens SC,AMI,away,8r66a8r47loy7w44aqkz54utw,J. Nduquidi,53.8,73.0,1,2026-01-10T14:34:16.532Z,2026-01-10T14:34:19Z,dqrb6u91dugdi6jkeuz3opdsk,13,2026-01-10,15:30:00,,2,45,Montreuil vs Amiens SC,Angle: 3.65; Length: 24.2; Zone: Back; Pass End X: 33.6; Pass End Y: 55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,8.0,,,,,,,,,33.6,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,3.65,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,7gmev37nq408wx0xemmu3ypk9,Stade Auguste Delaune,343,MC,possession,Posesión / circulación
