general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2889173009,3,Pass,1,1,0,0,8v00fx2zwhiwm05tqqkt122p5,Paris FC,PAR,away,ckt75xb064etqh7aep6k5pfqh,W. Geubbels,49.8,50.2,1,2026-01-12T20:10:08.437Z,2026-01-12T20:10:11Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Zone: Back; Pass End Y: 51.9; Angle: 3.07; Pass End X: 33.5; Length: 17.2,"ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Back,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9.0,,,,,,,,,33.5,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,3.07,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,541,CF,possession,Posesión / circulación
2889173019,4,Pass,1,1,0,2,8v00fx2zwhiwm05tqqkt122p5,Paris FC,PAR,away,ef4thhub6bsd2gtmltknkz8b9,M. Lopez,35.8,53.5,1,2026-01-12T20:10:11.365Z,2026-01-12T20:10:13Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Length: 18.5; Pass End X: 25.9; Zone: Back; Pass End Y: 76.0; Angle: 2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10.0,,,,,,,,,25.9,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,2.17,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,541,MC,possession,Posesión / circulación
2889173029,5,Pass,1,1,0,4,8v00fx2zwhiwm05tqqkt122p5,Paris FC,PAR,away,17e9rercxaanx9ltwmoph9n56,Otávio,23.1,71.7,1,2026-01-12T20:10:13.125Z,2026-01-12T20:10:15Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Pass End Y: 94.3; Angle: 1.19; Zone: Back; Pass End X: 28.9; Length: 16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4.0,,,,,,,,,28.9,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,1.19,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,541,CB,possession,Posesión / circulación
2889173041,6,Pass,1,1,0,6,8v00fx2zwhiwm05tqqkt122p5,Paris FC,PAR,away,mwnt0b9a1jftct5ti3honwmh,T. Ollila,26.5,91.9,1,2026-01-12T20:10:15.302Z,2026-01-12T20:10:18Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Length: 15.4; Angle: 3.17; Pass End Y: 91.2; Zone: Back; Pass End X: 11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.0,,,,,,,,,11.8,91.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,3.17,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,541,LWB,possession,Posesión / circulación
2889173051,7,Pass,1,1,0,10,8v00fx2zwhiwm05tqqkt122p5,Paris FC,PAR,away,17e9rercxaanx9ltwmoph9n56,Otávio,10.7,90.3,1,2026-01-12T20:10:18.660Z,2026-01-12T20:10:20Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Zone: Back; Pass End Y: 69.7; Angle: 4.25; Pass End X: 4.0; Length: 15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4.0,,,,,,,,,4.0,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,4.25,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,541,CB,possession,Posesión / circulación
2889173059,8,Pass,1,1,0,12,8v00fx2zwhiwm05tqqkt122p5,Paris FC,PAR,away,ewac2m2xz0f48zotr0wv8565m,O. Nkambadio,4.0,69.7,0,2026-01-12T20:10:20.885Z,2026-01-12T20:10:23Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Length: 40.2; Pass End X: 42.3; Long ball: Si; Launch: Si; Pass End Y: 67.3; Zone: Back; Angle: 6.24,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Back,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1.0,,,,,,,,,42.3,67.3,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,6.24,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,541,GK,possession,Posesión / circulación
2889173115,11,Pass,1,1,0,28,8v00fx2zwhiwm05tqqkt122p5,Paris FC,PAR,away,mwnt0b9a1jftct5ti3honwmh,T. Ollila,51.5,100.0,1,2026-01-12T20:10:36.805Z,2026-01-12T20:10:39Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Angle: 3.37; Pass End Y: 92.5; Zone: Back; Throw In: Si; Long ball: Si; Length: 27.2; Pass End X: 26.3,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,11,3.0,,,,,,,,,26.3,92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,3.37,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,541,LWB,possession,Posesión / circulación
2889173119,12,Pass,1,1,0,30,8v00fx2zwhiwm05tqqkt122p5,Paris FC,PAR,away,17e9rercxaanx9ltwmoph9n56,Otávio,26.3,91.5,1,2026-01-12T20:10:39.350Z,2026-01-12T20:10:41Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Zone: Back; Pass End Y: 86.1; Angle: 3.35; Length: 18.0; Pass End X: 9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4.0,,,,,,,,,9.5,86.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,3.35,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,541,CB,possession,Posesión / circulación
2889173125,13,Pass,1,1,0,32,8v00fx2zwhiwm05tqqkt122p5,Paris FC,PAR,away,dpybx98sqm09bqcsuah1zj7px,T. Kolodziejczak,8.7,85.3,1,2026-01-12T20:10:41.142Z,2026-01-12T20:10:43Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Pass End X: 24.0; Length: 17.2; Zone: Back; Pass End Y: 94.5; Angle: 0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5.0,,,,,,,,,24.0,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,0.37,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,541,CB,possession,Posesión / circulación
2889173127,14,Pass,1,1,0,35,8v00fx2zwhiwm05tqqkt122p5,Paris FC,PAR,away,mwnt0b9a1jftct5ti3honwmh,T. Ollila,21.5,89.2,0,2026-01-12T20:10:43.814Z,2026-01-12T20:10:46Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Length: 6.6; Pass End X: 15.2; Zone: Back; Pass End Y: 88.3; Angle: 3.23,"ID: 233, Value: 6; ID: 236, Value: N/A; ID: 286, Value: N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.0,,,,,,,,,15.2,88.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,3.23,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,541,LWB,possession,Posesión / circulación
2889173145,7,Pass,1,1,0,37,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain FC,PSG,home,2s2fzli5c7h9dfcertq2dwxec,W. Zaïre-Emery,78.8,15.6,1,2026-01-12T20:10:45.833Z,2026-01-13T06:51:31Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Angle: 0.88; Length: 6.1; Pass End Y: 22.5; Zone: Center; Pass End X: 82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.0,,,,,,,,,82.5,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,0.88,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,433,RB,possession,Posesión / circulación
2889173149,8,Pass,1,1,0,40,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain FC,PSG,home,4zy4d60v2qmaplm9xbe51y1gp,K. Kvaratskhelia,82.8,23.0,1,2026-01-12T20:10:48.850Z,2026-01-12T20:10:49Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Length: 5.8; Angle: 2.29; Pass End X: 79.2; Zone: Center; Pass End Y: 29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Center,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10.0,,,,,,,,,79.2,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,2.29,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,433,LW,possession,Posesión / circulación
2889193211,1122,Pass,1,1,0,40,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain FC,PSG,home,9v4l7ic3ve6d22c0gs9p1oe3u,Gonçalo Ramos,79.5,27.7,1,2026-01-12T20:10:49.186Z,2026-01-13T06:52:40Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Length: 9.0; Zone: Center; Pass End Y: 37.2; Pass End X: 73.5; Angle: 2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Center,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9.0,,,,,,,,,73.5,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.34,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,433,CF,possession,Posesión / circulación
2889173173,10,Pass,1,1,0,42,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain FC,PSG,home,cionsifzpx5rhc8es29wv6i95,Vitinha,76.4,38.9,1,2026-01-12T20:10:50.978Z,2026-01-12T20:10:53Z,8k667tt0earxppabk8ln4y0b8,13,2026-01-12,21:10:00,,2,45,Paris Saint-Germain vs Paris FC,Angle: 5.58; Length: 14.9; Pass End Y: 24.7; Zone: Center; Pass End X: 87.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.0,,,,,,,,,87.2,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,5.58,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,efcoydloex7y04q29pac9s67c,Parc des Princes,433,MC,possession,Posesión / circulación
