general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2888845553,3,Pass,1,1,0,0,3xedluek08t2ka7oypwuullcn,Racing Club de Lens,RCL,away,7izciy79i6d6h7usfr8mcmh91,F. Sotoca,49.9,49.9,1,2026-01-11T13:01:31.072Z,2026-01-11T13:09:27Z,cpvz1azxu6xqz7l27i1chm8lw,13,2026-01-11,14:00:00,,2,45,Sochaux vs Lens,Pass End X: 42.1; Pass End Y: 52.2; Angle: 2.95; Zone: Back; Length: 8.3,"ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7.0,,,,,,,,,42.1,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,2.95,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cyjgjog35sowxym5dlv2uz53h,Stade Auguste-Bonal,343,MC,possession,Posesión / circulación
2888845581,4,Pass,1,1,0,3,3xedluek08t2ka7oypwuullcn,Racing Club de Lens,RCL,away,c8u45gxriyq1rup5fpr30xrdh,A. Thomasson,43.2,53.5,0,2026-01-11T13:01:34.919Z,2026-01-11T13:01:48Z,cpvz1azxu6xqz7l27i1chm8lw,13,2026-01-11,14:00:00,,2,45,Sochaux vs Lens,Long ball: Si; Pass End X: 84.9; Length: 54.5; Angle: 0.64; Zone: Left; Pass End Y: 100.0; Chipped: Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Left,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,8.0,,,,,,,,,84.9,100.0,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,0.64,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cyjgjog35sowxym5dlv2uz53h,Stade Auguste-Bonal,343,MC,possession,Posesión / circulación
2888845641,4,Pass,1,1,0,17,d9kwaceoj54pfprd6oc2hwae6,FC Sochaux Montbéliard,SOC,home,7upcymlpcp1zi8gojnl4krnpx,B. Youssouf,19.3,0.0,0,2026-01-11T13:01:48.613Z,2026-01-11T14:02:21Z,cpvz1azxu6xqz7l27i1chm8lw,13,2026-01-11,14:00:00,,2,45,Sochaux vs Lens,Throw In: Si; Zone: Back; Length: 22.3; Pass End X: 38.5; Angle: 0.44; Long ball: Si; Pass End Y: 12.2,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,8,2.0,,,,,,,,,38.5,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,0.44,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cyjgjog35sowxym5dlv2uz53h,Stade Auguste-Bonal,4231,RB,possession,Posesión / circulación
2888845645,6,Pass,1,1,0,21,3xedluek08t2ka7oypwuullcn,Racing Club de Lens,RCL,away,7izciy79i6d6h7usfr8mcmh91,F. Sotoca,57.1,93.4,1,2026-01-11T13:01:52.810Z,2026-01-11T13:16:03Z,cpvz1azxu6xqz7l27i1chm8lw,13,2026-01-11,14:00:00,,2,45,Sochaux vs Lens,Pass End Y: 92.4; Angle: 6.09; Zone: Left; Pass End X: 60.5; Length: 3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Left,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7.0,,,,,,,,,60.5,92.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,6.09,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cyjgjog35sowxym5dlv2uz53h,Stade Auguste-Bonal,343,MC,possession,Posesión / circulación
2888845659,7,Pass,1,1,0,22,3xedluek08t2ka7oypwuullcn,Racing Club de Lens,RCL,away,2axi9gr1lhuewlt06emrk44q1,M. Sarr,59.4,86.8,1,2026-01-11T13:01:53.783Z,2026-01-11T13:16:10Z,cpvz1azxu6xqz7l27i1chm8lw,13,2026-01-11,14:00:00,,2,45,Sochaux vs Lens,Length: 4.6; Head pass: Si; Zone: Left; Pass End X: 58.3; Angle: 1.83; Pass End Y: 93.3,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Left,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4.0,,,,,,,,,58.3,93.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,1.83,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cyjgjog35sowxym5dlv2uz53h,Stade Auguste-Bonal,343,CB,possession,Posesión / circulación
2888845665,8,Pass,1,1,0,23,3xedluek08t2ka7oypwuullcn,Racing Club de Lens,RCL,away,7izciy79i6d6h7usfr8mcmh91,F. Sotoca,58.3,93.3,0,2026-01-11T13:01:54.840Z,2026-01-11T13:16:05Z,cpvz1azxu6xqz7l27i1chm8lw,13,2026-01-11,14:00:00,,2,45,Sochaux vs Lens,Long ball: Si; Angle: 5.64; Pass End Y: 84.7; Pass End X: 65.8; Zone: Left; Launch: Si; Length: 9.8,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Left,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7.0,,,,,,,,,65.8,84.7,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,5.64,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cyjgjog35sowxym5dlv2uz53h,Stade Auguste-Bonal,343,MC,possession,Posesión / circulación
2888845699,9,Pass,1,1,0,25,3xedluek08t2ka7oypwuullcn,Racing Club de Lens,RCL,away,7h28voyog9dhvitn6hj1omhh,W. Saïd,68.8,88.6,1,2026-01-11T13:01:56.799Z,2026-01-12T16:58:43Z,cpvz1azxu6xqz7l27i1chm8lw,13,2026-01-11,14:00:00,,2,45,Sochaux vs Lens,Length: 3.1; Angle: 5.86; Pass End Y: 86.7; Pass End X: 71.5; Zone: Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Left,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11.0,,,,,,,,,71.5,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,5.86,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cyjgjog35sowxym5dlv2uz53h,Stade Auguste-Bonal,343,LW,possession,Posesión / circulación
2888845727,8,Pass,1,1,0,31,d9kwaceoj54pfprd6oc2hwae6,FC Sochaux Montbéliard,SOC,home,3ih1el13gd67fgiqx2dr6zdre,A. Boutoutaou,37.7,3.5,1,2026-01-11T13:02:03.045Z,2026-01-12T16:59:05Z,cpvz1azxu6xqz7l27i1chm8lw,13,2026-01-11,14:00:00,,2,45,Sochaux vs Lens,Zone: Back; Length: 10.8; Pass End X: 45.0; Angle: 0.78; Pass End Y: 14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7.0,,,,,,,,,45.0,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,0.78,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cyjgjog35sowxym5dlv2uz53h,Stade Auguste-Bonal,4231,RW,possession,Posesión / circulación
2888845731,9,Pass,1,1,0,32,d9kwaceoj54pfprd6oc2hwae6,FC Sochaux Montbéliard,SOC,home,3kbhn2unv2gsvxgwwdsa2cyqd,J. Mexique,41.7,15.8,1,2026-01-11T13:02:04.054Z,2026-01-12T16:59:09Z,cpvz1azxu6xqz7l27i1chm8lw,13,2026-01-11,14:00:00,,2,45,Sochaux vs Lens,Pass End X: 52.4; Length: 14.1; Pass End Y: 3.3; Zone: Right; Angle: 5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.0,,,,,,,,,52.4,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,5.64,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cyjgjog35sowxym5dlv2uz53h,Stade Auguste-Bonal,4231,CAM,possession,Posesión / circulación
2888845735,10,Pass,1,1,0,35,d9kwaceoj54pfprd6oc2hwae6,FC Sochaux Montbéliard,SOC,home,3ih1el13gd67fgiqx2dr6zdre,A. Boutoutaou,49.7,3.2,0,2026-01-11T13:02:06.342Z,2026-01-11T13:02:07Z,cpvz1azxu6xqz7l27i1chm8lw,13,2026-01-11,14:00:00,,2,45,Sochaux vs Lens,Pass End X: 56.8; Angle: 0.34; Zone: Right; Length: 7.9; Pass End Y: 7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7.0,,,,,,,,,56.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,0.34,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,cyjgjog35sowxym5dlv2uz53h,Stade Auguste-Bonal,4231,RW,possession,Posesión / circulación
