general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2885287979,3,Pass,1,1,0,0,4t4hod56fsj7utpjdor8so5q6,AS Monaco FC,ASM,away,btfanvej91yogqzfml4vmsmei,M. Biereth,49.9,48.5,1,2025-12-21T13:45:04.317Z,2025-12-21T13:45:07Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Zone: Back; Pass End Y: 59.4; Pass End X: 28.9; Angle: 2.82; Length: 23.3,"ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Back,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.0,,,,,,,,,28.9,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,2.82,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,4231,CF,possession,Posesión / circulación
2885287999,4,Pass,1,1,0,3,4t4hod56fsj7utpjdor8so5q6,AS Monaco FC,ASM,away,2jc6sdkse1kxjztsgystidot1,D. Zakaria,29.8,55.7,1,2025-12-21T13:45:07.705Z,2025-12-21T13:45:09Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Pass End X: 35.8; Angle: 1.20; Length: 17.6; Zone: Back; Pass End Y: 79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.0,,,,,,,,,35.8,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,1.2,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,4231,CDM,possession,Posesión / circulación
2885288037,5,Pass,1,1,0,5,4t4hod56fsj7utpjdor8so5q6,AS Monaco FC,ASM,away,28x7i681wkjueanvkevew3bh1,A. Golovin,35.4,77.0,1,2025-12-21T13:45:09.913Z,2025-12-21T14:40:48Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Pass End X: 31.8; Length: 10.8; Pass End Y: 62.1; Angle: 4.36; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.0,,,,,,,,,31.8,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,4.36,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,4231,CAM,possession,Posesión / circulación
2885288113,6,Pass,1,1,0,7,4t4hod56fsj7utpjdor8so5q6,AS Monaco FC,ASM,away,2jc6sdkse1kxjztsgystidot1,D. Zakaria,31.6,61.4,1,2025-12-21T13:45:11.930Z,2025-12-21T13:45:16Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Length: 17.6; Angle: 1.13; Pass End X: 38.8; Pass End Y: 84.8; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.0,,,,,,,,,38.8,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,1.13,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,4231,CDM,possession,Posesión / circulación
2885288199,7,Pass,1,1,0,12,4t4hod56fsj7utpjdor8so5q6,AS Monaco FC,ASM,away,28x7i681wkjueanvkevew3bh1,A. Golovin,44.6,67.7,1,2025-12-21T13:45:16.394Z,2025-12-21T14:40:55Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Long ball: Si; Chipped: Si; Intentional Assist: Si; Pass End X: 89.6; Pass End Y: 70.4; Angle: 0.04; Zone: Center; Assist: 13; Length: 47.3,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.0,,,,,,,,,89.6,70.4,,,,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,47.3,0.04,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,4231,CAM,possession,Posesión / circulación
2885288543,4,Pass,1,1,0,36,9bxav814mkuhueiyivyive82d,Association Jeunesse Auxerroise,AJA,home,512mx8ixg85cbefyan94g82y1,G. Mensah,3.6,59.1,1,2025-12-21T13:45:41.221Z,2025-12-23T04:44:48Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,High: Si; Long ball: Si; Length: 52.9; Goal Kick: Si; Zone: Center; Pass End Y: 66.9; Angle: 0.10; Pass End X: 53.7; Player Not Visible: Si,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,3.0,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,10,4.0,,,,,,,,,53.7,66.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,52.9,0.1,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,532,CB,possession,Posesión / circulación
2885288567,6,Pass,1,1,0,39,9bxav814mkuhueiyivyive82d,Association Jeunesse Auxerroise,AJA,home,bxmvvm79asf30rpxgklotjg9g,R. Rodin,53.7,66.9,0,2025-12-21T13:45:44.103Z,2025-12-23T11:14:32Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Angle: 0.51; Pass End Y: 68.7; Zone: Center; Length: 2.5; Head pass: Si; Pass End X: 55.8; Flick-on: Si,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Center,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9.0,,,,,,,,,55.8,68.7,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.51,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,532,CF,possession,Posesión / circulación
2885288613,12,Pass,1,1,0,41,4t4hod56fsj7utpjdor8so5q6,AS Monaco FC,ASM,away,2jc6sdkse1kxjztsgystidot1,D. Zakaria,44.7,44.6,0,2025-12-21T13:45:45.923Z,2025-12-23T04:45:05Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Pass End X: 54.8; Angle: 0.03; Head pass: Si; Length: 10.6; Pass End Y: 45.0; Zone: Center,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.0,,,,,,,,,54.8,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,0.03,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,4231,CDM,possession,Posesión / circulación
2885288599,7,Pass,1,1,0,42,9bxav814mkuhueiyivyive82d,Association Jeunesse Auxerroise,AJA,home,epm5q1bte6c7heozsr1fc10ix,A. Dioussé,43.1,52.1,0,2025-12-21T13:45:46.710Z,2025-12-21T13:45:47Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Length: 21.0; Zone: Center; Angle: 5.32; Pass End X: 54.6; Pass End Y: 26.8; Head pass: Si,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7.0,,,,,,,,,54.6,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,5.32,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,532,MC,possession,Posesión / circulación
2885288681,8,Pass,1,1,0,45,9bxav814mkuhueiyivyive82d,Association Jeunesse Auxerroise,AJA,home,16x1h9hpemidk9a15q01kfj10,R. Matondo,46.0,33.9,1,2025-12-21T13:45:49.621Z,2025-12-21T13:45:53Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Pass End Y: 21.0; Pass End X: 47.1; Length: 8.8; Angle: 4.84; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,,,,,,,,,47.1,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,4.84,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,532,MC,possession,Posesión / circulación
2885288709,9,Pass,1,1,0,48,9bxav814mkuhueiyivyive82d,Association Jeunesse Auxerroise,AJA,home,9t2dfjl5agcsblpq8dpqojofe,L. Sy,45.3,13.8,1,2025-12-21T13:45:53.141Z,2025-12-21T13:45:55Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Pass End Y: 11.0; Length: 20.1; Zone: Back; Angle: 3.24; Pass End X: 26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2.0,,,,,,,,,26.2,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,3.24,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,532,RWB,possession,Posesión / circulación
2885288727,10,Pass,1,1,0,51,9bxav814mkuhueiyivyive82d,Association Jeunesse Auxerroise,AJA,home,1ho9nox6j8s5cxd1kxjspsrca,M. Senaya,26.2,11.0,1,2025-12-21T13:45:55.909Z,2025-12-21T13:45:57Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Pass End Y: 30.6; Pass End X: 18.9; Length: 15.4; Angle: 2.09; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.0,,,,,,,,,18.9,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,2.09,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,532,CB,possession,Posesión / circulación
2885288807,11,Pass,1,1,0,53,9bxav814mkuhueiyivyive82d,Association Jeunesse Auxerroise,AJA,home,a1oi2uvchhnwi4kqw9npdp0q1,F. Sierralta,19.5,31.5,1,2025-12-21T13:45:57.509Z,2025-12-23T04:45:31Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Pass End Y: 53.6; Pass End X: 3.3; Zone: Back; Length: 22.7; Angle: 2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5.0,,,,,,,,,3.3,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,2.42,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,532,CB,possession,Posesión / circulación
2885288875,12,Pass,1,1,0,57,9bxav814mkuhueiyivyive82d,Association Jeunesse Auxerroise,AJA,home,2fvrc1kbl7k48il02ekwiqove,T. De Percin,3.7,51.5,0,2025-12-21T13:46:01.351Z,2025-12-23T04:45:36Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Pass End Y: 48.5; Length: 55.0; Launch: Si; Long ball: Si; Pass End X: 56.0; Zone: Center; Angle: 6.25,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Center,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1.0,,,,,,,,,56.0,48.5,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,6.25,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,532,GK,possession,Posesión / circulación
2885288913,14,Pass,1,1,1,0,4t4hod56fsj7utpjdor8so5q6,AS Monaco FC,ASM,away,2r1u01vlym0nwcwx86bwbuusq,M. Salisu,44.0,51.5,0,2025-12-21T13:46:05.067Z,2025-12-23T11:14:33Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Pass End X: 56.5; Length: 18.7; Zone: Center; Pass End Y: 32.0; Angle: 5.49; Head pass: Si,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.0,,,,,,,,,56.5,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,5.49,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,4231,CB,possession,Posesión / circulación
2885289251,15,Pass,1,1,1,19,9bxav814mkuhueiyivyive82d,Association Jeunesse Auxerroise,AJA,home,512mx8ixg85cbefyan94g82y1,G. Mensah,38.5,79.6,1,2025-12-21T13:46:23.639Z,2025-12-21T13:46:24Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Angle: 1.20; Pass End Y: 96.5; Free kick taken: Si; Length: 12.3; Zone: Back; Pass End X: 42.8,"ID: 152, Value: N/A",,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4.0,,,,,,,,,42.8,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,1.2,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,532,CB,possession,Posesión / circulación
2885289273,16,Pass,1,1,1,20,9bxav814mkuhueiyivyive82d,Association Jeunesse Auxerroise,AJA,home,cm78w42nflwgvshpnok680mlm,F. Oppegård,42.8,96.5,1,2025-12-21T13:46:24.790Z,2025-12-21T13:46:26Z,86fpeenppz9uup79zn9ft6has,13,2025-12-21,14:45:00,,2,45,Auxerre vs Monaco,Zone: Back; Pass End Y: 86.3; Length: 17.7; Angle: 3.54; Pass End X: 27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3.0,,,,,,,,,27.3,86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,3.54,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,1uycjc9s319cii14hjwj0495b,Stade de l'Abbé Deschamps,532,LWB,possession,Posesión / circulación
