general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2884541513,3,Pass,1,1,0,0,d7diopos8sjksapsgz29cvz7v,US Avranches Mont-Saint-Michel,AVR,home,4q542vxufp0awhj3w2de79obu,A. Lamrabette,49.8,50.0,1,2025-12-19T19:44:59.923Z,2025-12-19T19:45:02Z,39qrw8z3x0i5h57tc1cbc8oic,13,2025-12-19,20:45:00,,2,45,Avranches vs Brest,Zone: Back; Length: 8.0; Pass End X: 43.5; Angle: 2.54; Pass End Y: 56.7,"ID: 279, Value: S; ID: 278, Value: N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Back,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10.0,,,,,,,,,43.5,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.54,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,4q1ysd5c1vw8nvou90811wcdu,Stade René Fenouillère,532,CF,possession,Posesión / circulación
2884541597,4,Pass,1,1,0,2,d7diopos8sjksapsgz29cvz7v,US Avranches Mont-Saint-Michel,AVR,home,1zzx8es6e7mlicbfwkow82m6t,J. Pi,43.8,50.7,1,2025-12-19T19:45:02.804Z,2025-12-19T19:45:08Z,39qrw8z3x0i5h57tc1cbc8oic,13,2025-12-19,20:45:00,,2,45,Avranches vs Brest,Angle: 4.74; Pass End Y: 4.1; Zone: Back; Length: 31.7; Pass End X: 44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,,,,,,,,,44.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,4.74,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,4q1ysd5c1vw8nvou90811wcdu,Stade René Fenouillère,532,MC,possession,Posesión / circulación
2884541635,5,Pass,1,1,0,8,d7diopos8sjksapsgz29cvz7v,US Avranches Mont-Saint-Michel,AVR,home,1y4rz301213t69jpgm0jredw5,D. Bansais,40.5,10.3,1,2025-12-19T19:45:08.307Z,2025-12-19T19:45:10Z,39qrw8z3x0i5h57tc1cbc8oic,13,2025-12-19,20:45:00,,2,45,Avranches vs Brest,Angle: 0.60; Pass End Y: 23.4; Zone: Center; Length: 15.7; Pass End X: 52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2.0,,,,,,,,,52.8,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,0.6,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,4q1ysd5c1vw8nvou90811wcdu,Stade René Fenouillère,532,RWB,possession,Posesión / circulación
2884541695,4,Pass,1,1,0,11,3adj8hkws0z1al232bg2h6tk0,Stade Brestois 29,BRE,away,eg9xhi6wfp1duf01pcsn8vfmd,L. Tousart,38.1,84.2,0,2025-12-19T19:45:11.846Z,2025-12-20T10:13:45Z,39qrw8z3x0i5h57tc1cbc8oic,13,2025-12-19,20:45:00,,2,45,Avranches vs Brest,Angle: 2.74; Pass End Y: 89.9; Length: 9.8; Pass End X: 29.5; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.0,,,,,,,,,29.5,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,2.74,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,4q1ysd5c1vw8nvou90811wcdu,Stade René Fenouillère,4231,CDM,possession,Posesión / circulación
2884541825,9,Pass,1,1,0,19,d7diopos8sjksapsgz29cvz7v,US Avranches Mont-Saint-Michel,AVR,home,4q542vxufp0awhj3w2de79obu,A. Lamrabette,92.1,25.0,0,2025-12-19T19:45:19.268Z,2025-12-20T10:14:12Z,39qrw8z3x0i5h57tc1cbc8oic,13,2025-12-19,20:45:00,,2,45,Avranches vs Brest,Zone: Center; Length: 2.3; Pass End Y: 28.2; Chipped: Si; Outswinger: Si; Pass End X: 92.9; Angle: 1.20; Cross: Si; Right footed: Si,"ID: 233, Value: 6; ID: 236, Value: N/A; ID: 286, Value: N/A",,Si,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Center,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10.0,,,,,,,,,92.9,28.2,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,1.2,,,,,,,,,,,Si,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,4q1ysd5c1vw8nvou90811wcdu,Stade René Fenouillère,532,CF,possession,Posesión / circulación
2884542231,11,Pass,1,1,0,41,d7diopos8sjksapsgz29cvz7v,US Avranches Mont-Saint-Michel,AVR,home,1zzx8es6e7mlicbfwkow82m6t,J. Pi,99.5,0.5,1,2025-12-19T19:45:41.843Z,2025-12-19T19:45:43Z,39qrw8z3x0i5h57tc1cbc8oic,13,2025-12-19,20:45:00,,2,45,Avranches vs Brest,Pass End X: 90.3; Zone: Right; Length: 12.5; Angle: 2.45; Corner taken: Si; Pass End Y: 12.2,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,,,,,,,,,90.3,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,2.45,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,4q1ysd5c1vw8nvou90811wcdu,Stade René Fenouillère,532,MC,possession,Posesión / circulación
2884542239,12,Pass,1,1,0,42,d7diopos8sjksapsgz29cvz7v,US Avranches Mont-Saint-Michel,AVR,home,acpe9ln8ljlnc1bjcq0eghd5h,C. Boateng,90.4,12.8,1,2025-12-19T19:45:42.548Z,2025-12-19T19:45:43Z,39qrw8z3x0i5h57tc1cbc8oic,13,2025-12-19,20:45:00,,2,45,Avranches vs Brest,Length: 13.1; Zone: Right; Pass End Y: 14.3; Angle: 3.06; Pass End X: 78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8.0,,,,,,,,,78.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,3.06,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,4q1ysd5c1vw8nvou90811wcdu,Stade René Fenouillère,532,CDM,possession,Posesión / circulación
2884542309,13,Pass,1,1,0,43,d7diopos8sjksapsgz29cvz7v,US Avranches Mont-Saint-Michel,AVR,home,1zzx8es6e7mlicbfwkow82m6t,J. Pi,77.9,17.4,1,2025-12-19T19:45:43.860Z,2025-12-20T10:16:30Z,39qrw8z3x0i5h57tc1cbc8oic,13,2025-12-19,20:45:00,,2,45,Avranches vs Brest,Angle: 1.75; Pass End X: 73.6; Assist: 15; Length: 24.9; Zone: Center; Pass End Y: 53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,,,,,,,,,73.6,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,24.9,1.75,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,4q1ysd5c1vw8nvou90811wcdu,Stade René Fenouillère,532,MC,possession,Posesión / circulación
2884542641,16,Pass,1,1,1,3,d7diopos8sjksapsgz29cvz7v,US Avranches Mont-Saint-Michel,AVR,home,7b73fqcomb4gtrrd3gvo0k12i,P. Terrien,90.7,100.0,1,2025-12-19T19:46:03.692Z,2025-12-19T20:35:28Z,39qrw8z3x0i5h57tc1cbc8oic,13,2025-12-19,20:45:00,,2,45,Avranches vs Brest,Throw In: Si; Zone: Left; Pass End X: 80.5; Length: 14.6; Angle: 3.89; Pass End Y: 87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Left,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,10,3.0,,,,,,,,,80.5,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,3.89,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,4q1ysd5c1vw8nvou90811wcdu,Stade René Fenouillère,532,LWB,possession,Posesión / circulación
2884542677,11,Pass,1,1,1,8,3adj8hkws0z1al232bg2h6tk0,Stade Brestois 29,BRE,away,bph8i3bg9nouvmb5mv4bytzbo,H. Makalou,28.6,15.8,0,2025-12-19T19:46:08.581Z,2025-12-20T10:19:37Z,39qrw8z3x0i5h57tc1cbc8oic,13,2025-12-19,20:45:00,,2,45,Avranches vs Brest,Length: 13.2; Pass End Y: 13.7; Pass End X: 41.1; Angle: 6.17; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.0,,,,,,,,,41.1,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,6.17,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,4q1ysd5c1vw8nvou90811wcdu,Stade René Fenouillère,4231,CDM,possession,Posesión / circulación
