general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2885422601,3,Pass,1,1,0,0,1igxzs8z5868hmrs3d3xmf93t,Hauts Lyonnais SC,HLY,away,952khkcpz2t3f0tro770na66t,A. Belaroussi,49.7,50.6,1,2025-12-21T16:31:19.912Z,2025-12-21T16:31:28Z,8nzf4wfjaajp3c2gv9q0kehw4,13,2025-12-21,17:30:00,,2,45,Bassin d'Arcachon vs Hauts Lyonnais,Pass End X: 23.2; Length: 27.9; Pass End Y: 47.8; Zone: Back; Angle: 3.21,"ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Back,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9.0,,,,,,,,,23.2,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,3.21,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,732durfxjjix1owgci5aqd3h1,Stade Jean Brousse,433,CF,possession,Posesión / circulación
2885422665,4,Pass,1,1,0,8,1igxzs8z5868hmrs3d3xmf93t,Hauts Lyonnais SC,HLY,away,7z9yoadpzt8hljxtkn8h0qac,I. Tissot,22.8,50.0,0,2025-12-21T16:31:28.608Z,2025-12-21T16:31:32Z,8nzf4wfjaajp3c2gv9q0kehw4,13,2025-12-21,17:30:00,,2,45,Bassin d'Arcachon vs Hauts Lyonnais,Launch: Si; Zone: Center; Long ball: Si; Angle: 0.11; Pass End Y: 58.1; Pass End X: 68.3; Length: 48.1,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Center,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,,,,,,,,,68.3,58.1,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,0.11,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,732durfxjjix1owgci5aqd3h1,Stade Jean Brousse,433,GK,possession,Posesión / circulación
2885468871,368,Pass,1,1,0,11,74s0rb4orp68kpvkdogvpa9qt,FC Bassin d'Arcachon,BAS,home,cigndqq5vwx4qrlcy1gfca8dl,L. Dumai,34.0,26.8,1,2025-12-21T16:31:30.911Z,2025-12-23T09:51:25Z,8nzf4wfjaajp3c2gv9q0kehw4,13,2025-12-21,17:30:00,,2,45,Bassin d'Arcachon vs Hauts Lyonnais,Length: 10.4; Pass End X: 40.8; Pass End Y: 15.7; Angle: 5.47; Zone: Back; Flick-on: Si; Head pass: Si,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.0,,,,,,,,,40.8,15.7,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,5.47,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,732durfxjjix1owgci5aqd3h1,Stade Jean Brousse,4231,CDM,possession,Posesión / circulación
2885422765,7,Pass,1,1,0,15,74s0rb4orp68kpvkdogvpa9qt,FC Bassin d'Arcachon,BAS,home,116j4smo058uinv382xtftht6,L. de Ataide,40.9,21.1,1,2025-12-21T16:31:35.283Z,2025-12-21T16:31:39Z,8nzf4wfjaajp3c2gv9q0kehw4,13,2025-12-21,17:30:00,,2,45,Bassin d'Arcachon vs Hauts Lyonnais,Zone: Right; Pass End X: 62.4; Angle: 5.87; Pass End Y: 6.7; Length: 24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.0,,,,,,,,,62.4,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,5.87,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,732durfxjjix1owgci5aqd3h1,Stade Jean Brousse,4231,CAM,possession,Posesión / circulación
2885423125,8,Pass,1,1,0,46,1igxzs8z5868hmrs3d3xmf93t,Hauts Lyonnais SC,HLY,away,tg4tyjtcx3771zft2se4tfqh,R. Poncet,9.3,86.3,1,2025-12-21T16:32:06.801Z,2025-12-23T09:51:53Z,8nzf4wfjaajp3c2gv9q0kehw4,13,2025-12-21,17:30:00,,2,45,Bassin d'Arcachon vs Hauts Lyonnais,Angle: 4.62; Player Not Visible: Si; Free kick taken: Si; Pass End X: 8.6; Length: 7.7; Pass End Y: 75.1; Zone: Back,"ID: 152, Value: N/A",,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6.0,,,,,,,,,8.6,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,7.7,4.62,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,732durfxjjix1owgci5aqd3h1,Stade Jean Brousse,433,CB,possession,Posesión / circulación
2885423141,9,Pass,1,1,0,47,1igxzs8z5868hmrs3d3xmf93t,Hauts Lyonnais SC,HLY,away,7z9yoadpzt8hljxtkn8h0qac,I. Tissot,8.6,75.1,1,2025-12-21T16:32:07.505Z,2025-12-21T16:32:09Z,8nzf4wfjaajp3c2gv9q0kehw4,13,2025-12-21,17:30:00,,2,45,Bassin d'Arcachon vs Hauts Lyonnais,Long ball: Si; Length: 34.7; Angle: 5.16; Pass End X: 22.8; Zone: Back; Pass End Y: 29.1,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Back,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,,,,,,,,,22.8,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,5.16,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,732durfxjjix1owgci5aqd3h1,Stade Jean Brousse,433,GK,possession,Posesión / circulación
2885423215,10,Pass,1,1,0,49,1igxzs8z5868hmrs3d3xmf93t,Hauts Lyonnais SC,HLY,away,awarctlw05zqa6vn1ahpw2mi2,J. Halaïmia,22.8,29.1,1,2025-12-21T16:32:09.137Z,2025-12-21T16:32:15Z,8nzf4wfjaajp3c2gv9q0kehw4,13,2025-12-21,17:30:00,,2,45,Bassin d'Arcachon vs Hauts Lyonnais,Pass End X: 33.2; Pass End Y: 4.7; Length: 19.9; Zone: Back; Angle: 5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,33.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,5.29,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,732durfxjjix1owgci5aqd3h1,Stade Jean Brousse,433,CB,possession,Posesión / circulación
2885423221,11,Pass,1,1,0,55,1igxzs8z5868hmrs3d3xmf93t,Hauts Lyonnais SC,HLY,away,8ga4nry0j6cozjs8onn8s6tck,A. Hospital,56.4,26.6,1,2025-12-21T16:32:15.217Z,2025-12-23T09:52:01Z,8nzf4wfjaajp3c2gv9q0kehw4,13,2025-12-21,17:30:00,,2,45,Bassin d'Arcachon vs Hauts Lyonnais,Angle: 1.19; Pass End X: 64.2; Length: 21.9; Zone: Center; Pass End Y: 56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.0,,,,,,,,,64.2,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,1.19,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,732durfxjjix1owgci5aqd3h1,Stade Jean Brousse,433,RB,possession,Posesión / circulación
2885423247,12,Pass,1,1,0,56,1igxzs8z5868hmrs3d3xmf93t,Hauts Lyonnais SC,HLY,away,kphxj7gapzlj6b2pfdo4obv8,H. Thizy,64.2,56.4,0,2025-12-21T16:32:16.785Z,2025-12-21T16:32:18Z,8nzf4wfjaajp3c2gv9q0kehw4,13,2025-12-21,17:30:00,,2,45,Bassin d'Arcachon vs Hauts Lyonnais,Zone: Center; Pass End Y: 47.8; Length: 9.3; Pass End X: 71.1; Angle: 5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8.0,,,,,,,,,71.1,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,5.6,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,732durfxjjix1owgci5aqd3h1,Stade Jean Brousse,433,MC,possession,Posesión / circulación
2885423339,12,Pass,1,1,1,2,74s0rb4orp68kpvkdogvpa9qt,FC Bassin d'Arcachon,BAS,home,116j4smo058uinv382xtftht6,L. de Ataide,37.4,66.1,1,2025-12-21T16:32:22.650Z,2025-12-21T16:32:25Z,8nzf4wfjaajp3c2gv9q0kehw4,13,2025-12-21,17:30:00,,2,45,Bassin d'Arcachon vs Hauts Lyonnais,Zone: Back; Length: 14.2; Pass End X: 26.0; Pass End Y: 77.4; Angle: 2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.0,,,,,,,,,26.0,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,2.57,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,732durfxjjix1owgci5aqd3h1,Stade Jean Brousse,4231,CAM,possession,Posesión / circulación
