general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2884760559,3,Pass,1,1,0,0,93n8cx98oci9owxrfpce18116,ASC Biesheim,BIE,home,5lxmtil6gmw2mykorm5di5xwp,A. Reppert,50.2,49.9,1,2025-12-20T14:30:08.729Z,2025-12-20T14:30:10Z,1h9my4spp7hfjdkv0z3xuuntg,13,2025-12-20,15:30:00,,2,45,Biesheim vs Metz,Pass End X: 37.7; Pass End Y: 54.0; Zone: Back; Length: 13.4; Angle: 2.93,"ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Back,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9.0,,,,,,,,,37.7,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,2.93,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,dzw7dwpgvbhlnr868j0e3gkh6,Stade Municipal,532,CF,possession,Posesión / circulación
2884760613,4,Pass,1,1,0,1,93n8cx98oci9owxrfpce18116,ASC Biesheim,BIE,home,5vye6s1ot7oddl9jxkvdmnaw9,A. Decherf,37.5,52.1,1,2025-12-20T14:30:10.721Z,2025-12-20T14:30:13Z,1h9my4spp7hfjdkv0z3xuuntg,13,2025-12-20,15:30:00,,2,45,Biesheim vs Metz,Angle: 4.61; Length: 15.1; Zone: Back; Pass End Y: 30.0; Pass End X: 36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8.0,,,,,,,,,36.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,4.61,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,dzw7dwpgvbhlnr868j0e3gkh6,Stade Municipal,532,CDM,possession,Posesión / circulación
2884760673,5,Pass,1,1,0,4,93n8cx98oci9owxrfpce18116,ASC Biesheim,BIE,home,3m88c455jsmzf7b0zd4chm1ka,J. Gyebohao,37.4,28.5,1,2025-12-20T14:30:13.249Z,2025-12-20T15:27:31Z,1h9my4spp7hfjdkv0z3xuuntg,13,2025-12-20,15:30:00,,2,45,Biesheim vs Metz,Angle: 0.03; Length: 7.7; Pass End X: 44.7; Zone: Back; Pass End Y: 28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.0,,,,,,,,,44.7,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,0.03,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,dzw7dwpgvbhlnr868j0e3gkh6,Stade Municipal,532,CB,possession,Posesión / circulación
2884760689,6,Pass,1,1,0,7,93n8cx98oci9owxrfpce18116,ASC Biesheim,BIE,home,cxql26f8c51qny16ghbb409nt,A. Valbon,44.7,28.5,0,2025-12-20T14:30:16.113Z,2025-12-22T06:59:53Z,1h9my4spp7hfjdkv0z3xuuntg,13,2025-12-20,15:30:00,,2,45,Biesheim vs Metz,Pass End Y: 26.7; Zone: Center; Pass End X: 59.0; Length: 15.1; Flick-on: Si; Angle: 6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7.0,,,,,,,,,59.0,26.7,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,6.2,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,dzw7dwpgvbhlnr868j0e3gkh6,Stade Municipal,532,MC,possession,Posesión / circulación
2884760711,4,Pass,1,1,0,8,2khen2a38l2hkx33s73pehl6o,FC Metz,MET,away,aeg6qg6zhedy316adz12ibqqc,M. Mboula,43.2,68.5,1,2025-12-20T14:30:17.009Z,2025-12-22T07:00:11Z,1h9my4spp7hfjdkv0z3xuuntg,13,2025-12-20,15:30:00,,2,45,Biesheim vs Metz,Zone: Center; Angle: 0.33; Length: 19.0; Pass End Y: 77.5; Pass End X: 60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.0,,,,,,,,,60.3,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,0.33,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,dzw7dwpgvbhlnr868j0e3gkh6,Stade Municipal,4231,CB,possession,Posesión / circulación
2884760739,5,Pass,1,1,0,9,2khen2a38l2hkx33s73pehl6o,FC Metz,MET,away,bubiqvqopahio0kq32a7y2i38,I. Sané,57.3,83.6,1,2025-12-20T14:30:18.561Z,2025-12-22T07:00:16Z,1h9my4spp7hfjdkv0z3xuuntg,13,2025-12-20,15:30:00,,2,45,Biesheim vs Metz,Length: 14.6; Pass End X: 68.4; Pass End Y: 96.5; Angle: 0.65; Zone: Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Left,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.0,,,,,,,,,68.4,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,0.65,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,dzw7dwpgvbhlnr868j0e3gkh6,Stade Municipal,4231,CF,possession,Posesión / circulación
2884760831,8,Pass,1,1,0,16,93n8cx98oci9owxrfpce18116,ASC Biesheim,BIE,home,3m88c455jsmzf7b0zd4chm1ka,J. Gyebohao,30.9,2.9,1,2025-12-20T14:30:25.265Z,2025-12-22T07:00:30Z,1h9my4spp7hfjdkv0z3xuuntg,13,2025-12-20,15:30:00,,2,45,Biesheim vs Metz,Length: 9.5; Angle: 0.63; Pass End Y: 11.1; Zone: Back; Pass End X: 38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.0,,,,,,,,,38.2,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,0.63,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,dzw7dwpgvbhlnr868j0e3gkh6,Stade Municipal,532,CB,possession,Posesión / circulación
2884760851,9,Pass,1,1,0,17,93n8cx98oci9owxrfpce18116,ASC Biesheim,BIE,home,cxql26f8c51qny16ghbb409nt,A. Valbon,36.0,9.0,0,2025-12-20T14:30:26.066Z,2025-12-22T07:00:37Z,1h9my4spp7hfjdkv0z3xuuntg,13,2025-12-20,15:30:00,,2,45,Biesheim vs Metz,Pass End Y: 0.0; Angle: 4.25; Length: 8.2; Pass End X: 32.5; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7.0,,,,,,,,,32.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,4.25,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,dzw7dwpgvbhlnr868j0e3gkh6,Stade Municipal,532,MC,possession,Posesión / circulación
2884761611,8,Pass,1,1,1,3,2khen2a38l2hkx33s73pehl6o,FC Metz,MET,away,b3wpebwk3m3ax11ia7dkwcwrt,J. Deminguet,64.9,100.0,1,2025-12-20T14:31:11.922Z,2025-12-20T14:31:13Z,1h9my4spp7hfjdkv0z3xuuntg,13,2025-12-20,15:30:00,,2,45,Biesheim vs Metz,Zone: Left; Throw In: Si; Length: 9.8; Pass End Y: 89.3; Angle: 5.26; Pass End X: 69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Left,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,8,3.0,,,,,,,,,69.8,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,5.26,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,dzw7dwpgvbhlnr868j0e3gkh6,Stade Municipal,4231,LB,possession,Posesión / circulación
2884761631,9,Pass,1,1,1,4,2khen2a38l2hkx33s73pehl6o,FC Metz,MET,away,17b6v5z6embi47fw7gsgj5jh1,B. Stambouli,69.8,89.3,1,2025-12-20T14:31:13.106Z,2025-12-22T07:01:07Z,1h9my4spp7hfjdkv0z3xuuntg,13,2025-12-20,15:30:00,,2,45,Biesheim vs Metz,Length: 6.4; Pass End Y: 96.9; Pass End X: 66.2; Angle: 2.20; Zone: Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Left,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.0,,,,,,,,,66.2,96.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,2.2,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,dzw7dwpgvbhlnr868j0e3gkh6,Stade Municipal,4231,CDM,possession,Posesión / circulación
