general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2885287991,3,Pass,1,1,0,0,bizl0ptma24fjoafuqclu8k5b,Football Bourg-en-Bresse Péronnas 01,BBP,home,3d1xs1kkva2hltrynqn6ztgyc,S. Cissé,50.0,50.0,1,2025-12-21T13:45:06.059Z,2025-12-23T11:23:29Z,f1hq36wut6is2m7fzpch6flsk,13,2025-12-21,14:45:00,,2,45,Bourg-Péronnas vs Olympique Marseille,Length: 3.3; Zone: Back; Pass End Y: 49.4; Pass End X: 46.9; Angle: 3.27,"ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Back,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10.0,,,,,,,,,46.9,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.27,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ad5r50wo1mebejbnd8divvl5t,Stade Marcel-Verchère,532,CF,possession,Posesión / circulación
2885288013,4,Pass,1,1,0,3,bizl0ptma24fjoafuqclu8k5b,Football Bourg-en-Bresse Péronnas 01,BBP,home,3arh1cy6ff80x6itom6485rhm,J. Meyer,47.0,49.6,0,2025-12-21T13:45:09.180Z,2025-12-23T11:23:27Z,f1hq36wut6is2m7fzpch6flsk,13,2025-12-21,14:45:00,,2,45,Bourg-Péronnas vs Olympique Marseille,Long ball: Si; Length: 1.0; Pass End X: 47.9; Angle: 6.14; Launch: Si; Pass End Y: 49.4; Zone: Back,"ID: 286, Value: N/A; ID: 236, Value: N/A; ID: 233, Value: 3",Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,,,,,,,,,47.9,49.4,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.14,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ad5r50wo1mebejbnd8divvl5t,Stade Marcel-Verchère,532,MC,possession,Posesión / circulación
2885288059,5,Pass,1,1,0,6,bizl0ptma24fjoafuqclu8k5b,Football Bourg-en-Bresse Péronnas 01,BBP,home,8djb9n5efti11ffwa8h8x3z84,R. Slimani,33.5,39.1,1,2025-12-21T13:45:12.364Z,2025-12-21T13:45:13Z,f1hq36wut6is2m7fzpch6flsk,13,2025-12-21,14:45:00,,2,45,Bourg-Péronnas vs Olympique Marseille,Pass End Y: 20.6; Angle: 4.25; Pass End X: 27.6; Zone: Back; Length: 14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8.0,,,,,,,,,27.6,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,4.25,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ad5r50wo1mebejbnd8divvl5t,Stade Marcel-Verchère,532,CDM,possession,Posesión / circulación
2885288087,6,Pass,1,1,0,7,bizl0ptma24fjoafuqclu8k5b,Football Bourg-en-Bresse Péronnas 01,BBP,home,djiiudw6ne366yr0v12r7ro5w,M. Sylla,27.6,20.6,1,2025-12-21T13:45:13.700Z,2025-12-21T13:45:32Z,f1hq36wut6is2m7fzpch6flsk,13,2025-12-21,14:45:00,,2,45,Bourg-Péronnas vs Olympique Marseille,Pass End Y: 29.2; Pass End X: 41.8; Length: 16.0; Zone: Back; Angle: 0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.0,,,,,,,,,41.8,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.37,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ad5r50wo1mebejbnd8divvl5t,Stade Marcel-Verchère,532,CB,possession,Posesión / circulación
2885288103,7,Pass,1,1,0,9,bizl0ptma24fjoafuqclu8k5b,Football Bourg-en-Bresse Péronnas 01,BBP,home,93xhmhqiv6o5xx54il7mangno,M. Bodmer,41.0,29.4,1,2025-12-21T13:45:15.236Z,2025-12-21T13:45:15Z,f1hq36wut6is2m7fzpch6flsk,13,2025-12-21,14:45:00,,2,45,Bourg-Péronnas vs Olympique Marseille,Angle: 4.00; Zone: Back; Pass End Y: 18.6; Length: 9.7; Pass End X: 35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7.0,,,,,,,,,35.0,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,4.0,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ad5r50wo1mebejbnd8divvl5t,Stade Marcel-Verchère,532,MC,possession,Posesión / circulación
2885288109,8,Pass,1,1,0,9,bizl0ptma24fjoafuqclu8k5b,Football Bourg-en-Bresse Péronnas 01,BBP,home,djiiudw6ne366yr0v12r7ro5w,M. Sylla,35.0,18.6,0,2025-12-21T13:45:15.827Z,2025-12-21T13:45:35Z,f1hq36wut6is2m7fzpch6flsk,13,2025-12-21,14:45:00,,2,45,Bourg-Péronnas vs Olympique Marseille,Pass End Y: 29.8; Angle: 0.74; Pass End X: 42.9; Length: 11.3; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.0,,,,,,,,,42.9,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,0.74,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ad5r50wo1mebejbnd8divvl5t,Stade Marcel-Verchère,532,CB,possession,Posesión / circulación
2885288163,4,Pass,1,1,0,11,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,4zxrdmwphkxvkvo6bt30uanrp,P. Højbjerg,55.4,73.5,1,2025-12-21T13:45:17.900Z,2025-12-21T14:42:37Z,f1hq36wut6is2m7fzpch6flsk,13,2025-12-21,14:45:00,,2,45,Bourg-Péronnas vs Olympique Marseille,Zone: Center; Length: 14.5; Pass End Y: 73.2; Angle: 6.27; Pass End X: 69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,8.0,,,,,,,,,69.2,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,6.27,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ad5r50wo1mebejbnd8divvl5t,Stade Marcel-Verchère,3412,MC,possession,Posesión / circulación
2885288189,5,Pass,1,1,0,12,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,xu7mykgl15kaib3olilmsez9,N. Maupay,68.0,74.7,1,2025-12-21T13:45:18.507Z,2025-12-21T13:45:20Z,f1hq36wut6is2m7fzpch6flsk,13,2025-12-21,14:45:00,,2,45,Bourg-Péronnas vs Olympique Marseille,Pass End X: 60.5; Length: 10.2; Zone: Left; Pass End Y: 84.2; Angle: 2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Left,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10.0,,,,,,,,,60.5,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,2.45,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ad5r50wo1mebejbnd8divvl5t,Stade Marcel-Verchère,3412,CF,possession,Posesión / circulación
2885288349,6,Pass,1,1,0,14,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,7nivkfkngr374fx5totgektm1,A. Gomes,62.3,79.3,0,2025-12-21T13:45:20.300Z,2025-12-21T14:45:47Z,f1hq36wut6is2m7fzpch6flsk,13,2025-12-21,14:45:00,,2,45,Bourg-Péronnas vs Olympique Marseille,Pass End Y: 78.1; Length: 19.5; Zone: Center; Angle: 6.24; Pass End X: 80.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,Center,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,9.0,,,,,,,,,80.9,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,6.24,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ad5r50wo1mebejbnd8divvl5t,Stade Marcel-Verchère,3412,CAM,possession,Posesión / circulación
2885288809,11,Pass,1,1,0,52,bizl0ptma24fjoafuqclu8k5b,Football Bourg-en-Bresse Péronnas 01,BBP,home,bgaghez3jxsmf6zb3rdu2ghec,A. Mazuy,31.4,24.9,1,2025-12-21T13:45:58.188Z,2025-12-21T13:46:01Z,f1hq36wut6is2m7fzpch6flsk,13,2025-12-21,14:45:00,,2,45,Bourg-Péronnas vs Olympique Marseille,Launch: Si; Zone: Center; Angle: 0.18; Pass End Y: 36.6; Free kick taken: Si; Pass End X: 73.2; Length: 44.6; Long ball: Si,"ID: 241, Value: N/A",Si,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Center,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1.0,,,,,,,,,73.2,36.6,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,0.18,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ad5r50wo1mebejbnd8divvl5t,Stade Marcel-Verchère,532,GK,possession,Posesión / circulación
