general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2884543037,3,Pass,1,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,Montpellier HSC,MON,away,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,49.9,49.6,0,2025-12-19T19:46:27.475Z,2025-12-19T19:46:31Z,9dsrs6zlsvavy72yrpe0ieiac,13,2025-12-19,20:45:00,,2,45,Canet Roussillon vs Montpellier,Zone: Right; Angle: 5.83; Pass End X: 100.0; Launch: Si; Long ball: Si; Length: 60.2; Pass End Y: 11.2,"ID: 279, Value: S",Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.0,,,,,,,,,100.0,11.2,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2,5.83,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ex4wncxui329dm3dkaazyi7kl,Stade Gilbert Brutus,4231,CAM,possession,Posesión / circulación
2884543263,4,Pass,1,1,0,13,8v68luuduprpn3nh3b3fthqhf,Canet Roussillon FC,CAN,home,5e6z5ioclabhfvs3z2e35agut,D. Graves,5.1,49.5,1,2025-12-19T19:46:41.213Z,2025-12-19T19:46:42Z,9dsrs6zlsvavy72yrpe0ieiac,13,2025-12-19,20:45:00,,2,45,Canet Roussillon vs Montpellier,Pass End Y: 41.8; Zone: Back; Length: 8.2; Angle: 5.59; Pass End X: 11.1; Goal Kick: Si,"ID: 237, Value: N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Back,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,8,1.0,,,,,,,,,11.1,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,5.59,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ex4wncxui329dm3dkaazyi7kl,Stade Gilbert Brutus,4231,GK,possession,Posesión / circulación
2884543317,5,Pass,1,1,0,15,8v68luuduprpn3nh3b3fthqhf,Canet Roussillon FC,CAN,home,1pn918cpsqj67mpeprjzxlzx0,T. Fievez,11.1,41.8,1,2025-12-19T19:46:42.942Z,2025-12-19T19:46:46Z,9dsrs6zlsvavy72yrpe0ieiac,13,2025-12-19,20:45:00,,2,45,Canet Roussillon vs Montpellier,Length: 19.6; Pass End Y: 66.9; Zone: Back; Angle: 2.09; Pass End X: 1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.0,,,,,,,,,1.9,66.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,2.09,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ex4wncxui329dm3dkaazyi7kl,Stade Gilbert Brutus,4231,CDM,possession,Posesión / circulación
2884543369,6,Pass,1,1,0,19,8v68luuduprpn3nh3b3fthqhf,Canet Roussillon FC,CAN,home,5e6z5ioclabhfvs3z2e35agut,D. Graves,2.0,65.7,1,2025-12-19T19:46:46.653Z,2025-12-19T19:46:49Z,9dsrs6zlsvavy72yrpe0ieiac,13,2025-12-19,20:45:00,,2,45,Canet Roussillon vs Montpellier,Zone: Back; Length: 12.8; Pass End X: 13.7; Pass End Y: 70.8; Angle: 0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Back,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.0,,,,,,,,,13.7,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,0.28,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ex4wncxui329dm3dkaazyi7kl,Stade Gilbert Brutus,4231,GK,possession,Posesión / circulación
2884543445,7,Pass,1,1,0,21,8v68luuduprpn3nh3b3fthqhf,Canet Roussillon FC,CAN,home,1pn918cpsqj67mpeprjzxlzx0,T. Fievez,13.6,70.9,1,2025-12-19T19:46:48.989Z,2025-12-19T19:46:52Z,9dsrs6zlsvavy72yrpe0ieiac,13,2025-12-19,20:45:00,,2,45,Canet Roussillon vs Montpellier,Pass End X: 5.0; Length: 17.5; Chipped: Si; Angle: 2.11; Pass End Y: 93.0; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.0,,,,,,,,,5.0,93.0,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,2.11,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ex4wncxui329dm3dkaazyi7kl,Stade Gilbert Brutus,4231,CDM,possession,Posesión / circulación
2884543475,8,Pass,1,1,0,25,8v68luuduprpn3nh3b3fthqhf,Canet Roussillon FC,CAN,home,48vlkkksojwllyehyml1rab6c,T. Algrin,5.0,93.0,0,2025-12-19T19:46:52.653Z,2025-12-19T19:46:54Z,9dsrs6zlsvavy72yrpe0ieiac,13,2025-12-19,20:45:00,,2,45,Canet Roussillon vs Montpellier,Pass End Y: 93.7; Zone: Back; Length: 27.5; Pass End X: 31.2; Angle: 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,,,,,,,,,31.2,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,0.02,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ex4wncxui329dm3dkaazyi7kl,Stade Gilbert Brutus,4231,CB,possession,Posesión / circulación
2884543635,10,Pass,1,1,0,34,8v68luuduprpn3nh3b3fthqhf,Canet Roussillon FC,CAN,home,6ykvutjteeqf1aq80n0sdqk9g,P. Bonneil,45.4,100.0,1,2025-12-19T19:47:01.790Z,2025-12-19T19:47:04Z,9dsrs6zlsvavy72yrpe0ieiac,13,2025-12-19,20:45:00,,2,45,Canet Roussillon vs Montpellier,Throw In: Si; Zone: Back; Length: 30.5; Pass End X: 18.8; Pass End Y: 83.4; Long ball: Si; Angle: 3.55,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,8,3.0,,,,,,,,,18.8,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,3.55,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ex4wncxui329dm3dkaazyi7kl,Stade Gilbert Brutus,4231,LB,possession,Posesión / circulación
2884543655,11,Pass,1,1,0,36,8v68luuduprpn3nh3b3fthqhf,Canet Roussillon FC,CAN,home,48vlkkksojwllyehyml1rab6c,T. Algrin,19.1,83.5,1,2025-12-19T19:47:04.445Z,2025-12-19T19:47:06Z,9dsrs6zlsvavy72yrpe0ieiac,13,2025-12-19,20:45:00,,2,45,Canet Roussillon vs Montpellier,Angle: 3.96; Zone: Back; Pass End Y: 59.8; Length: 22.1; Pass End X: 4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,,,,,,,,,4.7,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,3.96,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ex4wncxui329dm3dkaazyi7kl,Stade Gilbert Brutus,4231,CB,possession,Posesión / circulación
2884543699,12,Pass,1,1,0,38,8v68luuduprpn3nh3b3fthqhf,Canet Roussillon FC,CAN,home,5e6z5ioclabhfvs3z2e35agut,D. Graves,4.7,59.8,1,2025-12-19T19:47:06.414Z,2025-12-19T19:47:09Z,9dsrs6zlsvavy72yrpe0ieiac,13,2025-12-19,20:45:00,,2,45,Canet Roussillon vs Montpellier,Pass End X: 8.8; Angle: 1.40; Length: 25.3; Pass End Y: 96.4; Zone: Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Back,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.0,,,,,,,,,8.8,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,1.4,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ex4wncxui329dm3dkaazyi7kl,Stade Gilbert Brutus,4231,GK,possession,Posesión / circulación
2884543725,13,Pass,1,1,0,42,8v68luuduprpn3nh3b3fthqhf,Canet Roussillon FC,CAN,home,48vlkkksojwllyehyml1rab6c,T. Algrin,8.8,96.4,1,2025-12-19T19:47:09.677Z,2025-12-19T19:47:12Z,9dsrs6zlsvavy72yrpe0ieiac,13,2025-12-19,20:45:00,,2,45,Canet Roussillon vs Montpellier,Pass End Y: 85.9; Angle: 5.62; Zone: Back; Pass End X: 17.5; Length: 11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,,,,,,,,,17.5,85.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,5.62,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,ex4wncxui329dm3dkaazyi7kl,Stade Gilbert Brutus,4231,CB,possession,Posesión / circulación
